"","ruta","archivo","qterm_pos","vterm_pos","qterm_neg","vterm_neg","tasaPosNot","tasaNegNot","vPolNot","anio","mes","dia","medio"
"1","./ieeelatam/data/marzo/semana1/","20200301_RF_China pone la mira en la importación de contagiados de los países con brote.txt",25,6.9334,10,2.7,0.277336,0.27,2.56792592592593,"2020","03","01","RF"
"2","./ieeelatam/data/marzo/semana1/","20200303_DT_Coronavirus en el país. en La Pampa continúan con las recomendaciones de prevención.txt",47,19.88585,11,4.7333,0.423103191489362,0.4303,4.20126550186973,"2020","03","03","DT"
"3","./ieeelatam/data/marzo/semana1/","20200303_LA_Las claves del Coronavirus. los síntomas y cómo cuidarse.txt",36,15.16675,26,14.5333,0.421298611111111,0.558973076923077,1.04358610914245,"2020","03","03","LA"
"4","./ieeelatam/data/marzo/semana1/","20200307_DT_Salud desmiente que haya casos de coronavirus en La Pampa.txt",29,12.9001,7,2.8333,0.444831034482759,0.404757142857143,4.55303003564748,"2020","03","07","DT"
"5","./ieeelatam/data/marzo/semana1/","20200307_LA_Coronavirus.La Pampa se suma a la resolución que otorga licencia a quienes regresen del exterior.txt",66,32.4775,10,3.8,0.492083333333333,0.38,8.54671052631579,"2020","03","07","LA"
"6","./ieeelatam/data/marzo/semana1/","20200307_RF_Coronavirus. confirmaron la primera muerte en Argentina.txt",35,13.6334,13,5.2,0.389525714285714,0.4,2.62180769230769,"2020","03","07","RF"
"7","./ieeelatam/data/marzo/semana2/","20200308_DT_Coronavirus. La Pampa adhirió a las licencias especiales.txt",36,16.6776,6,3,0.463266666666667,0.5,5.5592,"2020","03","08","DT"
"8","./ieeelatam/data/marzo/semana2/","20200310_DT_Elevan a 19 los casos de coronavirus en Argentina.txt",22,8.55,5,2.2,0.388636363636364,0.44,3.88636363636364,"2020","03","10","DT"
"9","./ieeelatam/data/marzo/semana2/","20200310_DT_La Pampa podría poner en cuarentena a cazadores de Italia, España y Alemania.txt",24,11.83095,2,0.6,0.49295625,0.3,19.71825,"2020","03","10","DT"
"10","./ieeelatam/data/marzo/semana2/","20200311_LA_Otros dos casos de coronavirus en Argentina.txt",70,30.7141,11,5.4,0.438772857142857,0.490909090909091,5.6877962962963,"2020","03","11","LA"
"11","./ieeelatam/data/marzo/semana2/","20200312_LA_Será obligatoria la cuarentena.txt",60,27.32355,24,9.7,0.4553925,0.404166666666667,2.81686082474227,"2020","03","12","LA"
"12","./ieeelatam/data/marzo/semana2/","20200312_RF_Un jugador dio positivo y Dybala, Higuain y Lautaro Martinez entraron en cuarentena.txt",13,8.4,3,0.6222,0.646153846153846,0.2074,13.5004821600771,"2020","03","12","RF"
"13","./ieeelatam/data/marzo/semana2/","20200313_DT_Coronavirus. hay unas 150 personas en La Pampa en cuarentena.txt",31,16.1584,12,5.36666666666667,0.521238709677419,0.447222222222222,3.01088198757764,"2020","03","13","DT"
"14","./ieeelatam/data/marzo/semana2/","20200313_ED_Se escucharon aplausos y bocinazos.txt",22,10.0333,10,3.9,0.456059090909091,0.39,2.57264102564103,"2020","03","13","ED"
"15","./ieeelatam/data/marzo/semana2/","20200313_LA_Registraron los primeros casos de coronavirus en Uruguay.txt",13,4.84285,4,1,0.372526923076923,0.25,4.84285,"2020","03","13","LA"
"16","./ieeelatam/data/marzo/semana2/","20200314_DT_Dieron negativo los tres casos sospechosos de coronavirus en La Pampa.txt",17,7.8,6,2,0.458823529411765,0.333333333333333,3.9,"2020","03","14","DT"
"17","./ieeelatam/data/marzo/semana2/","20200314_LA_Siguen las clases pero cierran boliches y Casino.txt",309,148.5025,75,25.3667,0.480590614886731,0.338222666666667,5.85423015212858,"2020","03","14","LA"
"18","./ieeelatam/data/marzo/semana2/","20200314_RF_Suspendieron Jaguares-Highlanders.txt",30,14.7166,5,1.2222,0.490553333333333,0.24444,12.0410734740632,"2020","03","14","RF"
"19","./ieeelatam/data/marzo/semana3/","20200315_LA_En La Pampa no hay contagiados con coronavirus.txt",128,60.0192,37,14.0333,0.4689,0.379278378378378,4.2769127717643,"2020","03","15","LA"
"20","./ieeelatam/data/marzo/semana3/","20200315_RF_El gobierno de La Pampa brindó un panorama actualizado del virus en la provincia.txt",71,31.7676,19,7,0.447430985915493,0.368421052631579,4.53822857142857,"2020","03","15","RF"
"21","./ieeelatam/data/marzo/semana3/","20200316_LA_Registran 11 nuevos casos de coronavirus en el país.txt",10,4.74285,2,1,0.474285,0.5,4.74285,"2020","03","16","LA"
"22","./ieeelatam/data/marzo/semana3/","20200317_DT_Por la pandemia, hoteles y restoranes de La Pampa piden suspender el pagos de impuestos.txt",47,18.121,7,2.4333,0.385553191489362,0.347614285714286,7.44708831627831,"2020","03","17","DT"
"23","./ieeelatam/data/marzo/semana3/","20200317_LA_Detienen a dos belgas en Buodo y están aislados en General Acha.txt",26,12.84285,5,1.1,0.493955769230769,0.22,11.6753181818182,"2020","03","17","LA"
"24","./ieeelatam/data/marzo/semana3/","20200317_LA_Detienen a un joven por exhibiciones obscenas.txt",28,10.76985,7,2.8,0.3846375,0.4,3.846375,"2020","03","17","LA"
"25","./ieeelatam/data/marzo/semana3/","20200317_LA_Estamos muy tristes y preocupados.txt",60,30.33795,8,3.9,0.5056325,0.4875,7.77896153846154,"2020","03","17","LA"
"26","./ieeelatam/data/marzo/semana3/","20200317_LA_Trump habló del virus chino y desató la furia de Beijing.txt",40,15.15945,12,4.3,0.37898625,0.358333333333333,3.52545348837209,"2020","03","17","LA"
"27","./ieeelatam/data/marzo/semana3/","20200317_RF_Ratificaron la suspensión del TC en La Pampa.txt",34,17.0667,6,1.2444,0.501961764705882,0.2074,13.7148023143684,"2020","03","17","RF"
"28","./ieeelatam/data/marzo/semana3/","20200318_DT_Por ahora La Pampa no impone cuarentena a todos los que ingresen a la provincia.txt",14,5.64285,1,0.2,0.403060714285714,0.2,28.21425,"2020","03","18","DT"
"29","./ieeelatam/data/marzo/semana3/","20200318_LA_Deportes que desafían al coronavirus.txt",133,62.63895,14,3.16666666666667,0.47096954887218,0.226190476190476,19.7807210526316,"2020","03","18","LA"
