"","medio","avgPolMedio","medPolMedio","maxPolMedio","minPolMedio"
"1","DT",8.96093012625511,5.46027045454546,41.2318405828155,1.85586111111111
"2","ED",8.64629382402538,5.9412205882353,28.75,0.416625
"3","IP",8.12494159883329,7.42857142857143,19.791875,1.64730444327427
"4","LA",7.65537866106173,5.8166,26.444,0.844871212121212
"5","RF",10.5648259903239,7.46811538461539,94.5,2.21428571428571
