"","term","log2ratio21","top1","top2"
"1626","deaños",8.37763474132033,3,24
"1627","camioneros",8.27994440133942,3,24
"1628","cuestionó",8.25757357004133,3,24
"1629","variantes",8.22711316765793,3,24
"1630","ocho",8.19274629656528,3,24
"1631","lleno",-11.0970894106222,3,24
"1632","parar",-11.0527261132207,3,24
"1633","fondo",-10.9212427135958,3,24
"1634","global",-10.0340902306435,3,24
"1635","mendoza",-9.66290553975416,3,24
"1636","comportamiento",-9.50926396820925,3,24
"1637","cbu",-9.29062714714358,3,24
"1638","certamen",-8.92578730412096,3,24
"1639","pampeanas",-8.79976883404197,3,24
"1640","bomberos",-8.66934042503286,3,24
"1641","viandas",10.4037746007007,3,25
"1642","variantes",9.72173643062654,3,25
"1643","paulo",9.3412688440769,3,25
"1644","coronaviruscovid",9.17974445041921,3,25
"1645","deaños",8.95278859698137,3,25
"1646","ubicadakilómetros",8.29628053776683,3,25
"1647","cuestionó",8.25425942553872,3,25
"1648","penal",8.05860740039448,3,25
"1649","vínculos",8.02918969752518,3,25
"1650","limpiar",7.84104940077907,3,25
"1651","juventus",-9.69148229227272,3,25
"1652","usás",-9.40640737522246,3,25
"1653","respectivas",-8.83728332495283,3,25
"1654","didier",-8.24876072616057,3,25
"1655","azitromicina",-8.04044061235577,3,25
"1656","rugby",-7.99778314729024,3,25
"1657","terminó",-7.70286950492882,3,25
"1658","fpa",-7.39432958371405,3,25
"1659","paliativas",-7.27249428598241,3,25
"1660","integre",-7.22067153140593,3,25
"1661","variantes",10.5680895768596,3,26
"1662","viandas",10.209555308347,3,26
"1663","losdías",9.24006891983573,3,26
"1664","conectados",9.22261338596983,3,26
"1665","revisarlo",9.1807664956668,3,26
"1666","paulo",8.43892320889767,3,26
"1667","semanasestamos",8.14903423580545,3,26
"1668","penal",8.06837575209726,3,26
"1669","ocho",7.93775689208882,3,26
"1670","vilma",7.86689579955417,3,26
"1671","calificando",-10.5910816615608,3,26
"1672","rutina",-10.0777473324123,3,26
"1673","legisladores",-9.45520944239063,3,26
"1674","legajos",-9.3209512811565,3,26
"1675","lucha",-8.94787090378373,3,26
"1676","hipertenso",-8.73960948336756,3,26
"1677","afines",-8.52630209355913,3,26
"1678","posadascada",-8.40949775703015,3,26
"1679","viajaron",-8.33184062263402,3,26
"1680","uti",-8.27586555772131,3,26
"1681","losdías",10.7006975870898,3,27
"1682","acceso",8.93442664301451,3,27
"1683","conectados",8.84811090695544,3,27
"1684","deaños",8.8343868875697,3,27
"1685","coronaviruscovid",8.74770505450511,3,27
"1686","variantes",8.62688031072969,3,27
"1687","limpiar",8.57527732584089,3,27
"1688","revisarlo",8.50729024491214,3,27
"1689","ubicadakilómetros",8.29745941157953,3,27
"1690","semanasestamos",8.29723514320641,3,27
"1691","domicilios",-9.46400957480752,3,27
"1692","clases",-9.21808683668432,3,27
"1693","gigante",-8.86723000865718,3,27
"1694","conviven",-8.43339639257605,3,27
"1695","oponen",-8.41327145253706,3,27
"1696","opositora",-8.26450527335386,3,27
"1697","mancharon",-8.0417145975818,3,27
"1698","declaradas",-7.82575350470163,3,27
"1699","extraordinarios",-7.82157921179019,3,27
"1700","represivo",-7.6729760436005,3,27
"1701","variantes",10.6536440701986,3,28
"1702","losdías",10.0765452051857,3,28
"1703","conectados",9.59097213402841,3,28
"1704","viandas",9.40911599437843,3,28
"1705","deaños",9.15078588730501,3,28
"1706","limpiar",8.46893189657056,3,28
"1707","camioneros",8.34171047332031,3,28
"1708","revisarlo",8.03005269058034,3,28
"1709","desertizaciones",8.01604307276072,3,28
"1710","vacuna",7.77294786600008,3,28
"1711","dialogo",-9.88362120709181,3,28
"1712","vean",-9.76792737783734,3,28
"1713","imprimir",-9.1752742638095,3,28
"1714","álvarezen",-9.16213115900444,3,28
"1715","aeropuertos",-8.88676463719219,3,28
"1716","impactó",-8.19417747059862,3,28
"1717","sumarse",-8.07789751841292,3,28
"1718","vicedecana",-7.82149838316031,3,28
"1719","rotativo",-7.77535069697953,3,28
"1720","hola",-7.74381860619298,3,28
"1721","losdías",10.624455761153,3,29
"1722","viandas",10.431842212767,3,29
"1723","paulo",9.99755861158459,3,29
"1724","variantes",8.8937787014626,3,29
"1725","conectados",8.77151636562713,3,29
"1726","camioneros",8.49478450911166,3,29
"1727","acceso",8.49280464131876,3,29
"1728","ubicadakilómetros",8.31939743672253,3,29
"1729","clínicade",7.8660666344408,3,29
"1730","utilizaron",7.6711734047553,3,29
"1731","especiales",-10.7010099682075,3,29
"1732","feria",-10.5328558641529,3,29
"1733","detenciones",-10.2046635548124,3,29
"1734","recesión",-9.89783450333178,3,29
"1735","subsecretaría",-9.84233993198966,3,29
"1736","proteja",-9.7486051107388,3,29
"1737","registraronpersonas",-9.18785195002062,3,29
"1738","impediría",-9.12212256262071,3,29
"1739","argentinadel",-9.02388842238183,3,29
"1740","marta",-8.88826126347822,3,29
"1741","viandas",10.4448143276556,3,30
"1742","paulo",9.47943111011154,3,30
"1743","conectados",9.12226279288624,3,30
"1744","deaños",8.97746846459186,3,30
"1745","acceso",8.68856183941478,3,30
"1746","asusta",8.6739226439507,3,30
"1747","revisarlo",8.5442308395967,3,30
"1748","semanasestamos",8.21056282966896,3,30
"1749","camioneros",8.14007309923414,3,30
"1750","vínculos",8.07319952802156,3,30
"1751","conseguirían",-10.932166358998,3,30
"1752","epidemiológicos",-10.8384693917542,3,30
"1753","héroes",-10.643737939713,3,30
"1754","estará",-9.77025110070948,3,30
"1755","apellido",-9.09337580542137,3,30
"1756","navegando",-9.04784711475273,3,30
"1757","planteada",-8.53160104308833,3,30
"1758","voluntario",-8.51692153191128,3,30
"1759","depesos",-8.35013844678397,3,30
"1760","unos",-8.2610381859588,3,30
"1761","viandas",10.8719151538115,3,31
"1762","paulo",10.1183864547108,3,31
"1763","losdías",10.1030170964328,3,31
"1764","deaños",9.00565371450653,3,31
"1765","variantes",8.93852781121267,3,31
"1766","camioneros",8.5122353064453,3,31
"1767","asusta",8.08546296830656,3,31
"1768","ubicadakilómetros",8.08529125216274,3,31
"1769","revisarlo",7.89696893666577,3,31
"1770","coronaviruscovid",7.72624801200055,3,31
"1771","cae",-11.5183795422327,3,31
"1772","vivieron",-8.37768881991207,3,31
"1773","define",-8.34154361189829,3,31
"1774","jubilados",-7.97693721992792,3,31
"1775","anonimato",-7.8903243499014,3,31
"1776","maximiliano",-7.81199643885091,3,31
"1777","evidenciado",-7.76367889600026,3,31
"1778","comprometer",-7.60146275949321,3,31
"1779","obligado",-7.55807053161164,3,31
"1780","losaños",-7.35209103847682,3,31
"1781","variantes",10.5555295482501,3,32
"1782","viandas",10.1119323081954,3,32
"1783","conectados",9.91754770785063,3,32
"1784","paulo",8.97781564264896,3,32
"1785","deaños",8.6461807177281,3,32
"1786","limpiar",8.4609423566825,3,32
"1787","acceso",8.301926122855,3,32
"1788","desertizaciones",8.26171395019875,3,32
"1789","ubicadakilómetros",8.03149375607814,3,32
"1790","coronaviruscovid",7.93114599215833,3,32
"1791","cierran",-11.9352135925,3,32
"1792","gastos",-10.5476692112726,3,32
"1793","sucursales",-9.26852308136231,3,32
"1794","destinen",-9.23986391165072,3,32
"1795","vinieron",-9.18343364266617,3,32
"1796","digitales",-8.7246168742168,3,32
"1797","recoger",-8.47197766000267,3,32
"1798","suficientemente",-8.10177105255364,3,32
"1799","luchando",-8.05384992505551,3,32
"1800","previstos",-7.99224886716422,3,32
"1801","instantes",10.5008880455847,4,5
"1802","pago",10.4295889416942,4,5
"1803","comparar",9.62030881342864,4,5
"1804","aprobado",9.54694636740232,4,5
"1805","respaldando",8.67700004001323,4,5
"1806","pardou",8.14272938253261,4,5
"1807","bocina",7.75950227807913,4,5
"1808","cuadras",7.74570719239238,4,5
"1809","olvido",7.71422478767848,4,5
"1810","solá",7.63587446507779,4,5
"1811","comerciante",-11.2140704741404,4,5
"1812","desecamiento",-10.7204866381102,4,5
"1813","asegura",-10.2311942158672,4,5
"1814","funcionarias",-9.33915787688955,4,5
"1815","consumoservicios",-9.28889571889361,4,5
"1816","sic",-9.01807416890928,4,5
"1817","violare",-8.98980042142687,4,5
"1818","fronterizo",-8.84272539703728,4,5
"1819","mayo",-8.80537026651763,4,5
"1820","aconfallecidos",-8.71729654200862,4,5
"1821","instantes",10.9107988397336,4,6
"1822","xinhua",9.95631553309775,4,6
"1823","pago",9.855408866443,4,6
"1824","propietario",9.55333611925725,4,6
"1825","comparar",9.38532851937763,4,6
"1826","permita",9.27001547223278,4,6
"1827","hidroxicloroquina",8.77947084951421,4,6
"1828","pantalones",8.68800723496958,4,6
"1829","custodia",8.65026949499512,4,6
"1830","aprobado",8.48142753154285,4,6
"1831","brutal",-10.2691729919051,4,6
"1832","nasal",-10.2394650143875,4,6
"1833","ghezzi",-9.74124043791541,4,6
"1834","alternativa",-9.23773406608121,4,6
"1835","temporal",-9.1257751680673,4,6
"1836","rescatado",-8.90511652314475,4,6
"1837","aparición",-8.87421486928476,4,6
"1838","daniele",-8.81863349665944,4,6
"1839","proliferación",-8.38742802276301,4,6
"1840","sat",-8.17840560250225,4,6
"1841","instantes",10.682872756104,4,7
"1842","pago",10.2722796704069,4,7
"1843","permita",9.3333680193908,4,7
"1844","comparar",8.42021452963735,4,7
"1845","hombres",8.32526432896927,4,7
"1846","varón",8.16269925110304,4,7
"1847","solá",8.06787946816667,4,7
"1848","pantalones",8.02085718968111,4,7
"1849","tenerlo",7.97399608069263,4,7
"1850","acompañaban",7.87651817377191,4,7
"1851","xenófobos",-10.8509131138677,4,7
"1852","itálico",-10.2315689087412,4,7
"1853","sappa",-10.1971667931002,4,7
"1854","telen",-9.30833886591523,4,7
"1855","calabria",-9.18376292863237,4,7
"1856","síncrona",-9.08888108755775,4,7
"1857","interfederal",-8.97477271763686,4,7
"1858","patagonia",-8.59396125275254,4,7
"1859","nunca",-8.53257504354556,4,7
"1860","pase",-8.35174586338304,4,7
"1861","instantes",9.87510257678636,4,8
"1862","aprobado",9.87033411532324,4,8
"1863","comparar",9.83143829418683,4,8
"1864","propietario",9.76881118698943,4,8
"1865","respaldando",8.90326096050394,4,8
"1866","hidroxicloroquina",8.82230130649517,4,8
"1867","permita",8.81272082760601,4,8
"1868","custodia",8.81091569317294,4,8
"1869","pantalones",8.68217016970094,4,8
"1870","inactividad",8.30221044610627,4,8
"1871","duplica",-10.9305086779073,4,8
"1872","posee",-10.0434793088534,4,8
"1873","numerosos",-8.58087097699778,4,8
"1874","presumiblemente",-8.17952729368368,4,8
"1875","simultáneas",-8.15704195720343,4,8
"1876","dictaren",-8.12188578692937,4,8
"1877","monitores",-8.02776952480596,4,8
"1878","reincorporación",-7.80130660115646,4,8
"1879","comuniquen",-7.66282431561646,4,8
"1880","cómplices",-7.4959010576126,4,8
"1881","comparar",10.017130894881,4,9
"1882","pago",9.81476886847246,4,9
"1883","propietario",9.37315814280552,4,9
"1884","hidroxicloroquina",9.03109864624052,4,9
"1885","xinhua",8.86582016672942,4,9
"1886","pantalones",8.75718382512344,4,9
"1887","custodia",8.58183065901316,4,9
"1888","permita",8.45146152621874,4,9
"1889","instantes",8.29421124735421,4,9
"1890","hombres",8.21436191596907,4,9
"1891","prescripciones",-11.4184947008157,4,9
"1892","paz",-10.1908529214965,4,9
"1893","rápida",-9.89817888114693,4,9
"1894","nuca",-8.90557556323341,4,9
"1895","contemporáneos",-8.85899928773082,4,9
"1896","suplentes",-8.85742017081465,4,9
"1897","distrito",-8.84896827867197,4,9
"1898","elaborada",-8.77819291878761,4,9
"1899","torneos",-8.69464346797129,4,9
"1900","chequeando",-8.65706485016006,4,9
"1901","instantes",11.4961963918057,4,10
"1902","propietario",9.94188032697268,4,10
"1903","pago",9.79858356377951,4,10
"1904","comparar",9.25443535742733,4,10
"1905","pantalones",8.71121533838789,4,10
"1906","permita",8.62595244677257,4,10
"1907","xinhua",8.3710838446087,4,10
"1908","inactividad",8.27889081861151,4,10
"1909","respaldando",8.25097706284842,4,10
"1910","varón",8.18059573769535,4,10
"1911","losmil",-12.208928257035,4,10
"1912","bola",-11.5073546133783,4,10
"1913","deporte",-10.2730590199161,4,10
"1914","pasaban",-9.78413691303054,4,10
"1915","hipotecarios",-9.37877449335511,4,10
"1916","quepacientes",-8.97045091469359,4,10
"1917","poemas",-8.94691969391834,4,10
"1918","pañuelos",-8.77607628590775,4,10
"1919","primordial",-8.74545388379263,4,10
"1920","despensa",-8.1535786808973,4,10
"1921","instantes",11.1116906470471,4,11
"1922","pago",10.5433013286179,4,11
"1923","comparar",9.48041740179083,4,11
"1924","permita",9.22012293141957,4,11
"1925","hidroxicloroquina",8.87345963367562,4,11
"1926","custodia",8.86763014065594,4,11
"1927","pantalones",8.80606627699354,4,11
"1928","respaldando",8.59673021396621,4,11
"1929","hombres",8.08617459721283,4,11
"1930","condonarlas",7.84522775906472,4,11
"1931","maría",-9.75370490699517,4,11
"1932","quese",-9.53419045080378,4,11
"1933","usa",-9.42898263825609,4,11
"1934","verificar",-9.19617925989402,4,11
"1935","chileno",-8.83821094269047,4,11
"1936","departamento",-8.80527912903089,4,11
"1937","presentan",-8.72121218288246,4,11
"1938","aislarlos",-8.6780567141497,4,11
"1939","conseguir",-8.64520777532937,4,11
"1940","adhirió",-8.52633861611972,4,11
"1941","instantes",11.3636224575442,4,12
"1942","pago",9.89107357908581,4,12
"1943","propietario",9.44046273037918,4,12
"1944","aprobado",9.3206808348287,4,12
"1945","comparar",9.23223273529154,4,12
"1946","xinhua",9.10815363144988,4,12
"1947","pantalones",8.71679653702602,4,12
"1948","respaldando",8.7053815229354,4,12
"1949","permita",8.30133932899748,4,12
"1950","hidroxicloroquina",7.99382688865917,4,12
"1951","ministra",-11.0994366882972,4,12
"1952","lleguen",-9.49435097929807,4,12
"1953","ingresó",-8.73382391023707,4,12
"1954","vera",-8.69712489964743,4,12
"1955","afuera",-8.38686415080611,4,12
"1956","administrar",-7.92346774716291,4,12
"1957","ceo",-7.89940840135809,4,12
"1958","etiología",-7.66047844376773,4,12
"1959","aislados",-7.47038998908894,4,12
"1960","usado",-7.16779586510869,4,12
"1961","instantes",11.4546057453277,4,13
"1962","pago",10.6759517624322,4,13
"1963","comparar",10.2507782671619,4,13
"1964","xinhua",10.1644789984569,4,13
"1965","propietario",9.63812420533292,4,13
"1966","respaldando",9.02374837499022,4,13
"1967","hidroxicloroquina",8.94745926810798,4,13
"1968","varón",8.48248071893157,4,13
"1969","permita",8.43008326830047,4,13
"1970","solá",8.08669836717527,4,13
"1971","lasahoras",-11.0414632838452,4,13
"1972","impediría",-10.4117710505524,4,13
"1973","barreras",-9.81876513906334,4,13
"1974","contribuyendo",-9.09280118732442,4,13
"1975","pernoctar",-8.74407104904741,4,13
"1976","inclumplir",-8.49843392003107,4,13
"1977","comunicadas",-8.40926740555327,4,13
"1978","vieron",-8.27148705463639,4,13
"1979","clarin",-8.13955624603313,4,13
"1980","señalar",-7.98414024057452,4,13
"1981","pago",10.6814594513849,4,14
"1982","xinhua",10.0109420186019,4,14
"1983","aprobado",9.67339247181159,4,14
"1984","instantes",9.41286957471904,4,14
"1985","respaldando",9.04221412094152,4,14
"1986","hombres",8.96554057718531,4,14
"1987","propietario",8.73902304514945,4,14
"1988","hidroxicloroquina",8.20952699852616,4,14
"1989","varón",8.07086144383802,4,14
"1990","custodia",8.04598561003133,4,14
"1991","pudieron",-11.5315827852738,4,14
"1992","constitución",-10.260973472275,4,14
"1993","tuvieron",-9.92566974843644,4,14
"1994","evaluación",-9.8608323829454,4,14
"1995","obtenidas",-9.74195654442719,4,14
"1996","sol",-9.15560258063992,4,14
"1997","detenidas",-8.90646166699756,4,14
"1998","avanzar",-8.49806683811959,4,14
"1999","abrirá",-8.37856282110357,4,14
"2000","rosalos",-8.30099458263997,4,14
"2001","instantes",11.557183854687,4,15
"2002","aprobado",10.4414748152339,4,15
"2003","xinhua",9.64175246521833,4,15
"2004","hidroxicloroquina",9.44332976963374,4,15
"2005","propietario",9.38968580943579,4,15
"2006","comparar",9.31674122266049,4,15
"2007","pago",8.90327427158955,4,15
"2008","hombres",8.80513283998787,4,15
"2009","permita",8.71813188654316,4,15
"2010","subyacentes",8.25831512887375,4,15
"2011","deyaños",-11.4518130853487,4,15
"2012","losaños",-10.4970463346971,4,15
"2013","papel",-10.3219764546977,4,15
"2014","profesión",-9.16311595384603,4,15
"2015","pudieron",-8.44458939213267,4,15
"2016","campaña",-8.37416112392127,4,15
"2017","area",-8.31912117060087,4,15
"2018","apoyará",-8.31356176047538,4,15
"2019","durantedías",-8.27724834309312,4,15
"2020","víctimas",-7.91734560957008,4,15
"2021","instantes",11.7465155064791,4,16
"2022","pago",10.2456681769828,4,16
"2023","propietario",10.055134303955,4,16
"2024","aprobado",9.71871073564883,4,16
"2025","hidroxicloroquina",9.3941167547242,4,16
"2026","xinhua",9.33951247930189,4,16
"2027","hombres",9.05854383677519,4,16
"2028","permita",9.05850156505497,4,16
"2029","varón",8.58430127177215,4,16
"2030","pantalones",8.5667793803559,4,16
"2031","trasladará",-9.50911279109665,4,16
"2032","google",-9.0963308107733,4,16
"2033","requiera",-9.08063398355468,4,16
"2034","requerimientos",-8.45508075670154,4,16
"2035","esclarecer",-8.02296130445359,4,16
"2036","fronteras",-7.81530070678723,4,16
"2037","aluden",-7.81106887277698,4,16
"2038","sueldos",-7.7633356276672,4,16
"2039","intensiva",-7.56855864907522,4,16
"2040","efecto",-7.52908217916975,4,16
"2041","instantes",10.8096284732023,4,17
"2042","xinhua",9.96945415028727,4,17
"2043","propietario",9.60680658818854,4,17
"2044","pago",9.23658679939077,4,17
"2045","comparar",9.22237622069189,4,17
"2046","hombres",8.71792122374193,4,17
"2047","custodia",8.50472175151485,4,17
"2048","solá",8.22468510493632,4,17
"2049","pantalones",8.19972410940165,4,17
"2050","subyacentes",8.09875055693465,4,17
"2051","evitaría",-11.8393273773983,4,17
"2052","intensivas",-10.8811687017547,4,17
"2053","jakavi",-9.99089232696874,4,17
"2054","ingreso",-9.57111829873211,4,17
"2055","dicha",-8.97046074959814,4,17
"2056","saá",-8.78527282538323,4,17
"2057","imitar",-8.52510547355201,4,17
"2058","kits",-8.39387770951157,4,17
"2059","quehué",-8.27865667273935,4,17
"2060","licencia",-8.17347165360966,4,17
"2061","instantes",10.5499795873941,4,18
"2062","xinhua",10.2964096144122,4,18
"2063","propietario",10.1277044945278,4,18
"2064","pago",10.00370398835,4,18
"2065","aprobado",9.18767839576679,4,18
"2066","respaldando",9.07532433770185,4,18
"2067","pantalones",8.80400942931288,4,18
"2068","permita",8.77558671761219,4,18
"2069","varón",8.63665419997414,4,18
"2070","comparar",8.45537750155351,4,18
"2071","carrito",-11.8413574971285,4,18
"2072","crucenéstor",-11.1136651106996,4,18
"2073","grafk",-10.6154648590554,4,18
"2074","cursabadía",-9.99471934747795,4,18
"2075","chilena",-9.96381516637545,4,18
"2076","sustraído",-9.85180191807085,4,18
"2077","retórica",-9.51939209985937,4,18
"2078","grabado",-9.4895176744866,4,18
"2079","pérez",-9.29045320614495,4,18
"2080","multiplican",-9.24772633017227,4,18
"2081","instantes",10.788344583101,4,19
"2082","comparar",9.72543566519149,4,19
"2083","pago",9.56435673829076,4,19
"2084","propietario",9.33429511564415,4,19
"2085","hombres",9.0157273025149,4,19
"2086","permita",8.72394981285882,4,19
"2087","aprobado",8.30496735784763,4,19
"2088","pantalones",8.25551778130797,4,19
"2089","pardou",7.93917740402689,4,19
"2090","taxis",7.83150288727583,4,19
"2091","turno",-10.6190469577004,4,19
"2092","sumó",-10.4253361363398,4,19
"2093","mujeres",-9.35301131221431,4,19
"2094","contaron",-9.34910793645225,4,19
"2095","examinadoras",-8.90917442223513,4,19
"2096","efector",-8.78911467402179,4,19
"2097","interrupción",-8.52069426051733,4,19
"2098","aglutinada",-8.17472589470052,4,19
"2099","liberen",-7.9253899341898,4,19
"2100","luisde",-7.88709429398343,4,19
"2101","pago",10.6301367837192,4,20
"2102","comparar",10.220723906094,4,20
"2103","aprobado",9.93901698503086,4,20
"2104","propietario",9.59379674804611,4,20
"2105","xinhua",9.11737593804279,4,20
"2106","respaldando",9.01036759502948,4,20
"2107","custodia",8.75637134366475,4,20
"2108","permita",8.56242832812808,4,20
"2109","condonarlas",7.96075936759946,4,20
"2110","inactividad",7.80201405114293,4,20
"2111","desórdenes",-10.1311761263867,4,20
"2112","sudamérica",-9.69798318594315,4,20
"2113","circulaban",-9.17321300144012,4,20
"2114","quepacientes",-9.12951073383914,4,20
"2115","pretendido",-8.61625516288581,4,20
"2116","villegas",-8.25786271524721,4,20
"2117","suministrados",-8.10807077182363,4,20
"2118","opciones",-7.65517230544619,4,20
"2119","agresión",-7.6473140932893,4,20
"2120","nápoles",-7.51935415664232,4,20
"2121","instantes",11.7697015411237,4,21
"2122","pago",10.7040098804668,4,21
"2123","comparar",10.2051630909186,4,21
"2124","xinhua",9.73291461969828,4,21
"2125","respaldando",9.05203155888791,4,21
"2126","permita",9.03524941680196,4,21
"2127","hidroxicloroquina",8.7371955100691,4,21
"2128","pardou",8.10239186177226,4,21
"2129","condonarlas",8.08611213376898,4,21
"2130","varón",7.95928534932854,4,21
"2131","pymespor",-9.58875221152929,4,21
"2132","pertinentes",-9.48759536143041,4,21
"2133","recoger",-9.01479808026951,4,21
"2134","contemplaciones",-8.74784125261695,4,21
"2135","enviadas",-8.54786677815346,4,21
"2136","whats",-7.90925549237864,4,21
"2137","ésto",-7.90613170209822,4,21
"2138","perder",-7.86755738178539,4,21
"2139","consecuencia",-7.77258229511476,4,21
"2140","dividido",-7.7044518614382,4,21
"2141","instantes",11.600810524344,4,22
"2142","pago",10.2923490665839,4,22
"2143","xinhua",10.1895087717292,4,22
"2144","hombres",8.78858142261003,4,22
"2145","respaldando",8.72021916556255,4,22
"2146","aprobado",8.53747112177546,4,22
"2147","pantalones",8.39648871797815,4,22
"2148","custodia",8.36712323770288,4,22
"2149","permita",8.28545464672155,4,22
"2150","inactividad",8.15211645909815,4,22
"2151","antecedentes",-11.8620340440655,4,22
"2152","sappa",-11.4175000459347,4,22
"2153","normativas",-11.1582582162108,4,22
"2154","recorte",-10.9596859522679,4,22
"2155","visitó",-10.3729306740995,4,22
"2156","ingresan",-9.40280950099961,4,22
"2157","ofuscados",-9.23968191261123,4,22
"2158","pasaban",-9.15133684491356,4,22
"2159","concluimos",-8.95872965203609,4,22
"2160","profesor",-8.42806512701444,4,22
"2161","instantes",11.6548927708662,4,23
"2162","pago",10.0321420011768,4,23
"2163","propietario",9.9622284782843,4,23
"2164","permita",8.89893186028951,4,23
"2165","aprobado",8.59290156217095,4,23
"2166","pantalones",8.46619184273488,4,23
"2167","xinhua",8.34633990303857,4,23
"2168","hidroxicloroquina",8.16179077225917,4,23
"2169","respaldando",7.98670694599543,4,23
"2170","subyacentes",7.85613918940495,4,23
"2171","chubut",-10.991139208691,4,23
"2172","mesas",-10.1819802439955,4,23
"2173","curiosamente",-10.1387006144674,4,23
"2174","estamentos",-9.67150195306602,4,23
"2175","negroen",-9.40352454758787,4,23
"2176","acompañar",-8.88208921066396,4,23
"2177","muestreo",-8.57309589000476,4,23
"2178","tranquilos",-8.33506912050013,4,23
"2179","cooperadora",-7.61073669575663,4,23
"2180","envíen",-7.42822991683564,4,23
"2181","instantes",11.0435808878771,4,24
"2182","aprobado",9.96876074967222,4,24
"2183","permita",8.86160405300392,4,24
"2184","xinhua",8.83300507277859,4,24
"2185","comparar",8.77649445722455,4,24
"2186","custodia",8.27604209744482,4,24
"2187","subyacentes",8.23963210087871,4,24
"2188","inactividad",8.19408951468152,4,24
"2189","pago",7.95238452194072,4,24
"2190","impuesto",7.80712503617502,4,24
"2191","mendoza",-10.6255125329236,4,24
"2192","fondo",-10.569461477313,4,24
"2193","pampeanas",-10.0715031901561,4,24
"2194","global",-9.38969464398379,4,24
"2195","ambitocomna",-9.3145293389942,4,24
"2196","cbu",-8.85518576953037,4,24
"2197","ejercer",-8.48727866207649,4,24
"2198","dagna",-8.30310571624379,4,24
"2199","glúteos",-8.23024581469158,4,24
"2200","martos",-8.2290012694958,4,24
"2201","aprobado",10.124987078736,4,25
"2202","xinhua",9.78100102428197,4,25
"2203","hidroxicloroquina",9.40543671133438,4,25
"2204","propietario",9.38514739121157,4,25
"2205","permita",9.05062333885254,4,25
"2206","comparar",8.91280388836124,4,25
"2207","hombres",8.87735176208632,4,25
"2208","varón",8.54815798417576,4,25
"2209","impuesto",8.02983200671835,4,25
"2210","pardou",7.98166986171402,4,25
"2211","respectivas",-9.70262787574147,4,25
"2212","política",-9.18702918147812,4,25
"2213","usás",-9.01884249572904,4,25
"2214","didier",-8.37221652890446,4,25
"2215","fpa",-7.97708055850839,4,25
"2216","roby",-7.84085566771062,4,25
"2217","gremial",-7.64323568083661,4,25
"2218","rugby",-7.59962285294642,4,25
"2219","aislación",-7.444738056344,4,25
"2220","azitromicina",-7.39715138260439,4,25
"2221","instantes",9.41913170438486,4,26
"2222","xinhua",9.39896365404653,4,26
"2223","pantalones",8.84022192982716,4,26
"2224","pago",8.68925504938797,4,26
"2225","propietario",8.51804601962431,4,26
"2226","aprobado",8.1517851947584,4,26
"2227","permita",8.14711508009268,4,26
"2228","comparar",8.1390797659367,4,26
"2229","subyacentes",7.94816788171041,4,26
"2230","instructorado",7.91886179101287,4,26
"2231","venta",-10.3782692671265,4,26
"2232","posadascada",-10.2029781642839,4,26
"2233","lucha",-9.97626000267225,4,26
"2234","provocandofallecimientos",-9.62144797557575,4,26
"2235","calificando",-9.24352322983485,4,26
"2236","uti",-8.98722137159043,4,26
"2237","legisladores",-8.9054632635091,4,26
"2238","ciertos",-8.78759797877818,4,26
"2239","sappa",-8.6107714183586,4,26
"2240","rutina",-8.5127319639163,4,26
"2241","instantes",11.4621458543613,4,27
"2242","xinhua",10.2684302519477,4,27
"2243","propietario",10.2246915994197,4,27
"2244","comparar",9.91901858414819,4,27
"2245","pago",9.20115511777767,4,27
"2246","respaldando",8.92938746093073,4,27
"2247","hombres",8.78769732811831,4,27
"2248","custodia",8.54523925271635,4,27
"2249","hidroxicloroquina",8.4312113317985,4,27
"2250","aprobado",8.3897981046929,4,27
"2251","domicilios",-9.21933258774471,4,27
"2252","procesal",-8.66034533996759,4,27
"2253","oponen",-8.628235611131,4,27
"2254","sumanpositivos",-8.41422527016834,4,27
"2255","marchas",-8.32052061106522,4,27
"2256","infobae",-7.83192735696532,4,27
"2257","mers",-7.81302268226009,4,27
"2258","extraordinarios",-7.57631691132551,4,27
"2259","represivo",-7.52050977914874,4,27
"2260","opositora",-7.51092483578382,4,27
"2261","comparar",10.2238610142245,4,28
"2262","aprobado",9.61748549838336,4,28
"2263","xinhua",9.48796008550797,4,28
"2264","pago",8.78264459801155,4,28
"2265","custodia",8.58768446124133,4,28
"2266","subyacentes",8.33198173623881,4,28
"2267","respaldando",8.02723081193142,4,28
"2268","pardou",7.88563459976123,4,28
"2269","tenerlo",7.7797402568681,4,28
"2270","condonarlas",7.73529827328986,4,28
"2271","terapéutica",-10.3886873944611,4,28
"2272","dialogo",-9.47225484643702,4,28
"2273","desinfectantes",-9.10599944935971,4,28
"2274","aeropuertos",-8.80859059223817,4,28
"2275","impactó",-8.80720993490859,4,28
"2276","documentos",-8.64820432915987,4,28
"2277","álvarezen",-8.1306290421588,4,28
"2278","vicedecana",-8.0772051856294,4,28
"2279","establecimiento",-8.06135117030152,4,28
"2280","trasladada",-7.84590920118533,4,28
"2281","instantes",11.1922580300976,4,29
"2282","xinhua",10.2577348605706,4,29
"2283","comparar",9.57501965439903,4,29
"2284","propietario",9.35437028804642,4,29
"2285","permita",9.33294692665909,4,29
"2286","pantalones",8.84468800306323,4,29
"2287","hidroxicloroquina",8.75373276328473,4,29
