"","term","log2ratio21","top1","top2"
"159","loscasoscorresponden",-8.24639992789247,1,9
"160","distrito",-8.14343446934529,1,9
"161","abramo",11.6274290395954,1,10
"162","completaron",9.59152557732142,1,10
"163","fasce",9.07372185965776,1,10
"164","modificó",9.02337180172484,1,10
"165","dependerá",8.99131456651598,1,10
"166","confirma",8.94357535410407,1,10
"167","ruido",8.84019710415227,1,10
"168","actualizada",8.72879617582196,1,10
"169","detección",8.42570347308241,1,10
"170","diere",8.31776395521796,1,10
"171","poemas",-11.5743170165117,1,10
"172","deporte",-10.9633150117677,1,10
"173","losmil",-10.8734816134057,1,10
"174","bola",-10.5411267149542,1,10
"175","pasaban",-9.86760782176093,1,10
"176","cigarrillos",-9.5015191183264,1,10
"177","quepacientes",-9.22526387009707,1,10
"178","gravísimo",-8.76103107176261,1,10
"179","primordial",-8.67943679457992,1,10
"180","desarrolla",-7.92450496767147,1,10
"181","abramo",12.0492140915627,1,11
"182","completaron",9.7867338281074,1,11
"183","comunicadas",9.03892456751939,1,11
"184","dependerá",8.97602630872125,1,11
"185","twitter",8.67265092400831,1,11
"186","diere",8.36853628058937,1,11
"187","contagiarse",8.04654409466993,1,11
"188","confirma",7.95019335853206,1,11
"189","decretado",7.93075307184093,1,11
"190","interrupciones",7.76087164753109,1,11
"191","verificar",-9.34096536109306,1,11
"192","departamento",-8.91074239191314,1,11
"193","presentan",-8.8036043192283,1,11
"194","carreras",-8.74871665533463,1,11
"195","chileno",-8.69875766558726,1,11
"196","senado",-8.66636780181974,1,11
"197","comprobó",-8.54998297807768,1,11
"198","verdaderos",-8.40549166194657,1,11
"199","adhirió",-8.36295924532648,1,11
"200","usa",-8.15764604890819,1,11
"201","abramo",11.7113983447143,1,12
"202","detección",9.16997291177283,1,12
"203","fasce",9.12038473308983,1,12
"204","completaron",8.91305913948659,1,12
"205","decretad",8.73707529139116,1,12
"206","actualizada",8.71581402046528,1,12
"207","afmpf",8.63752839470435,1,12
"208","modificó",8.50327462540473,1,12
"209","dependerá",8.48844345833091,1,12
"210","diere",8.48272788395138,1,12
"211","ministra",-10.5243266441359,1,12
"212","lleguen",-9.74278030502016,1,12
"213","urbanos",-9.25222694351106,1,12
"214","vera",-9.03800879032399,1,12
"215","decenas",-8.71081595236711,1,12
"216","administrar",-8.70232654725153,1,12
"217","ingresó",-8.45732139308629,1,12
"218","teorías",-8.33155642308303,1,12
"219","gabriel",-8.1492944146183,1,12
"220","afuera",-7.86159315933042,1,12
"221","abramo",11.6325674449144,1,13
"222","completaron",9.54401074528188,1,13
"223","fasce",8.85635672003433,1,13
"224","dependerá",8.3978003737585,1,13
"225","decretado",8.14334881090969,1,13
"226","actualizada",8.04325604409699,1,13
"227","permanece",7.90637929727345,1,13
"228","twitter",7.72141501936408,1,13
"229","decretad",7.66560515940607,1,13
"230","empeoró",7.61556979083288,1,13
"231","lasahoras",-11.6202714111622,1,13
"232","impediría",-10.246057657472,1,13
"233","contribuyendo",-10.0640799778165,1,13
"234","vieron",-9.04984230594401,1,13
"235","secretaria",-8.58671160325232,1,13
"236","pernoctar",-8.40774641772405,1,13
"237","inclumplir",-8.30817020861248,1,13
"238","pagará",-8.07353937041591,1,13
"239","hipoxemia",-7.95238907808766,1,13
"240","amenazare",-7.89374896107966,1,13
"241","abramo",12.223230865663,1,14
"242","completaron",9.08066286860195,1,14
"243","modificó",8.91854032198803,1,14
"244","actualizada",8.90279214453085,1,14
"245","detección",8.8354620796488,1,14
"246","permanece",8.78910101881637,1,14
"247","twitter",8.54809216795622,1,14
"248","fasce",8.53391456734463,1,14
"249","comunicadas",8.49673576508436,1,14
"250","contagiarse",8.33208576470432,1,14
"251","abrirá",-10.6411466589578,1,14
"252","tuvieron",-10.4809623320295,1,14
"253","constitución",-9.93097511773535,1,14
"254","pudieron",-9.49847195296989,1,14
"255","obtenidas",-8.75737354754488,1,14
"256","sol",-8.62061950210178,1,14
"257","evaluación",-8.56178686203084,1,14
"258","lowo",-8.50670726522278,1,14
"259","trabaja",-8.30591700820831,1,14
"260","estigmatización",-8.23670308070765,1,14
"261","abramo",12.1380490269334,1,15
"262","completaron",10.248750225289,1,15
"263","twitter",9.18220465674398,1,15
"264","modificó",8.77701882319022,1,15
"265","comunicadas",8.64562213418261,1,15
"266","actualizada",8.49908103503826,1,15
"267","dependerá",8.21005541719125,1,15
"268","diere",8.14877503010767,1,15
"269","ruido",7.99254454812923,1,15
"270","vehicular",7.95397177230516,1,15
"271","losaños",-10.8512985271986,1,15
"272","compete",-9.23715975697984,1,15
"273","papel",-9.22556863451221,1,15
"274","deyaños",-9.21278675947256,1,15
"275","londres",-8.45584539641656,1,15
"276","san",-8.41965075241462,1,15
"277","molas",-8.40845440144987,1,15
"278","area",-8.3271015852754,1,15
"279","adaptarse",-8.31594052244843,1,15
"280","campaña",-8.18547377971481,1,15
"281","completaron",10.0392671289619,1,16
"282","twitter",9.09201629870148,1,16
"283","abramo",9.01108251674721,1,16
"284","modificó",8.87153871779953,1,16
"285","actualizada",8.69353034493334,1,16
"286","confirma",8.28112951920555,1,16
"287","diere",7.96215463148107,1,16
"288","vehicular",7.85778993600204,1,16
"289","ruido",7.76185009413716,1,16
"290","empeoró",7.66245210840609,1,16
"291","trasladará",-9.63257502525798,1,16
"292","requiera",-9.34193246272511,1,16
"293","intensiva",-9.18682211197908,1,16
"294","quejado",-9.09903229171487,1,16
"295","extendiendo",-8.97747746757405,1,16
"296","oriunda",-8.68198533251816,1,16
"297","sueldos",-8.67963925325748,1,16
"298","requerimientos",-8.1678152926233,1,16
"299","esclarecer",-8.15385733300681,1,16
"300","fronteras",-7.49323678278219,1,16
"301","abramo",11.52939980913,1,17
"302","completaron",9.76218573908913,1,17
"303","comunicadas",8.91088160056654,1,17
"304","twitter",8.37466358847297,1,17
"305","dependerá",8.3696002678732,1,17
"306","actualizada",8.22047578769856,1,17
"307","permanece",7.90698188253578,1,17
"308","decretad",7.80279930571744,1,17
"309","fasce",7.76288487821625,1,17
"310","contagiarse",7.72845126150223,1,17
"311","evitaría",-10.6674985037877,1,17
"312","intensivas",-10.5329916037287,1,17
"313","ingreso",-10.3068051195873,1,17
"314","dicha",-9.12576237856472,1,17
"315","saá",-8.60071912416739,1,17
"316","imitar",-8.59759532387481,1,17
"317","expresarse",-8.52999835389996,1,17
"318","aprobado",-8.20585886063857,1,17
"319","llevarán",-7.89856395755333,1,17
"320","licencia",-7.85113123598468,1,17
"321","abramo",10.3729334262936,1,18
"322","completaron",10.247437800983,1,18
"323","confirma",8.50019114612642,1,18
"324","dependerá",8.4284591962708,1,18
"325","fasce",8.37575093827687,1,18
"326","enfocarse",8.31488959287145,1,18
"327","detección",8.30042345785025,1,18
"328","contagiarse",8.21809314981914,1,18
"329","caram",8.03869345369556,1,18
"330","ruido",7.97215191942598,1,18
"331","grafk",-10.9900619248146,1,18
"332","carrito",-10.6833942299286,1,18
"333","crucenéstor",-10.5729896994797,1,18
"334","gráficos",-10.3454839490062,1,18
"335","retórica",-10.0698881622759,1,18
"336","multiplican",-9.90261563485736,1,18
"337","sustraído",-9.86092006791064,1,18
"338","bocina",-9.4496376834804,1,18
"339","proponiendo",-8.87456861197937,1,18
"340","rescatamos",-8.79464054160826,1,18
"341","abramo",12.4593686728804,1,19
"342","completaron",10.1039233080914,1,19
"343","comunicadas",9.43113420755591,1,19
"344","fasce",9.244024469556,1,19
"345","ruido",9.01727795933976,1,19
"346","permanece",8.72219050874774,1,19
