"","palabra","freq","magrado","mactivacion","mimag"
"51","cada",23,NA,NA,NA
"52","así",22,NA,NA,NA
"53","hace",22,NA,NA,NA
"54","respiratoria",22,NA,NA,NA
"55","todas",22,NA,NA,NA
"56","emergencia",21,NA,NA,NA
"57","italia",21,NA,NA,NA
"58","toda",21,NA,NA,NA
"59","evitar",20,1.8,3,2.4
"60","información",20,2.2,2,2
"61","mundial",20,2.3333,2.1667,2.5
"62","países",20,NA,NA,NA
"63","personal",20,2.5,2.4,2.6
"64","público",20,2.3,2.3,2.9
"65","ser",20,2.6,2.7,2.2
"66","trabajo",20,2.3333,2.6667,2.5
"67","decreto",19,2,2.6,1.4
"68","medida",19,2,2.1667,1.8333
"69","presente",19,2.56665,2.2,2.28335
"70","pública",19,NA,NA,NA
"71","solo",19,1.7,1.7,2.9
"72","través",19,2,2,1
"73","controles",18,NA,NA,NA
"74","dijo",18,NA,NA,NA
"75","elde",18,NA,NA,NA
"76","hoy",18,NA,NA,NA
"77","luego",18,NA,NA,NA
"78","buenosaires",17,NA,NA,NA
"79","casa",17,2.8,1.4,2.8
"80","cuadro",17,2.2,1.2,3
"81","marco",17,2.1667,1.5,3
"82","riesgo",17,1.2,2.6,2.8
"83","semana",17,2,2.4,2.6
"84","servicios",17,NA,NA,NA
"85","síntomas",17,NA,NA,NA
"86","sospechosos",17,NA,NA,NA
"87","bien",16,3,2.4,2.4
"88","enfermedad",16,1.2,2,2.8
"89","epidemiológica",16,NA,NA,NA
"90","fecha",16,2.4,2,2
"91","forma",16,2.2,1.8,1.4
"92","haber",16,2,1.8,1.8
"93","menos",16,NA,NA,NA
"94","mundo",16,2.4,2,2.8
"95","obligatorio",16,NA,NA,NA
"96","poder",16,2.6,2.8,2.3
"97","puede",16,NA,NA,NA
"98","seguridad",16,2.8,2.8,2.4
"99","tiempo",16,2,2,2.2
"100","tres",16,NA,NA,NA
"101","viernes",16,NA,NA,NA
"102","deaños",15,NA,NA,NA
"103","diario",15,2.14285,2.27145,2.64285
"104","explicó",15,NA,NA,NA
"105","preventivo",15,NA,NA,NA
"106","protocolo",15,NA,NA,NA
"107","recomendaciones",15,NA,NA,NA
"108","viaje",15,2.6,2.8,2.8
"109","año",14,2,1.8,3
"110","aún",14,NA,NA,NA
"111","contención",14,NA,NA,NA
"112","etiología",14,NA,NA,NA
"113","explique",14,NA,NA,NA
"114","frente",14,2,1.9,2.1
"115","manera",14,2,2,1.2
"116","mientras",14,NA,NA,NA
"117","paciente",14,2.2,1.6,2.9
"118","policía",14,1.8,2.2,3
"119","sentido",14,2.4,2.4,1.6
"120","años",13,NA,NA,NA
"121","chile",13,NA,NA,NA
"122","ciento",13,2,1.8,1.6
"123","contó",13,NA,NA,NA
"124","cumplimiento",13,NA,NA,NA
"125","diferentes",13,NA,NA,NA
"126","encuentra",13,NA,NA,NA
"127","equipo",13,2.8,2.4,2.8
"128","impacto",13,1.8,2.6,2.6
"129","mensaje",13,2.3333,2.1667,2.6667
"130","necesario",13,2,1.8,1.6
"131","prevención",13,NA,NA,NA
"132","señaló",13,NA,NA,NA
"133","zonas",13,NA,NA,NA
"134","actividad",12,2.6,2.8,2.4
"135","actividades",12,NA,NA,NA
"136","artículo",12,2,1.8,2.2
"137","asistencia",12,2.6,2.6,2.6
"138","aunque",12,NA,NA,NA
"139","comité",12,1.8,2,2.8
"140","debido",12,NA,NA,NA
"141","después",12,NA,NA,NA
"142","dirección",12,2.1667,2.8333,2.5
"143","equipos",12,NA,NA,NA
"144","esports",12,NA,NA,NA
"145","estrategias",12,NA,NA,NA
"146","europa",12,NA,NA,NA
"147","fiebre",12,NA,NA,NA
"148","hombre",12,2.4,2.4,3
"149","laboratorio",12,1.8,2.8,3
"150","mayoría",12,1.8,2,2.4
"151","nación",12,2.8,3,2.8
"152","nivel",12,2.2,2.2,2.4
"153","pacientes",12,NA,NA,NA
"154","parte",12,2,1.8,2.8
"155","partir",12,2,2.8,2.6
"156","presencia",12,2.2,2.6,2.4
"157","sanitarias",12,NA,NA,NA
"158","servicio",12,2.6,2.4,1.6
"159","tomar",12,2,2.6,2.8
"160","trabajadores",12,NA,NA,NA
"161","trata",12,NA,NA,NA
"162","van",12,NA,NA,NA
"163","atención",11,2.4,2.4,2.6
"164","clases",11,NA,NA,NA
"165","cualquier",11,NA,NA,NA
"166","cuenta",11,2,1.8,2.4
"167","cumplir",11,2.8,2.8,2.2
"168","dificultad",11,1.6,2.4,2.4
"169","fiscal",11,NA,NA,NA
"170","informó",11,NA,NA,NA
"171","jugadores",11,NA,NA,NA
"172","lugar",11,2,1.6,2
"173","máximo",11,2.3333,2.3333,2.5
"174","pampeanos",11,NA,NA,NA
"175","respecto",11,2,2,1.6
"176","respiratorios",11,NA,NA,NA
"177","responsabilidad",11,2.2,2.6,2.6
"178","seis",11,NA,NA,NA
"179","sistema",11,2.2,2.2,1.2
"180","sospechoso",11,NA,NA,NA
"181","tos",11,NA,NA,NA
"182","transporte",11,1.8,2.8,2.8
"183","acá",10,2.2,1.8,1.8
"184","agregó",10,NA,NA,NA
"185","alerta",10,NA,NA,NA
"186","clínica",10,NA,NA,NA
"187","contagios",10,NA,NA,NA
"188","encuentran",10,NA,NA,NA
"189","establecido",10,NA,NA,NA
"190","fuentes",10,NA,NA,NA
"191","infectados",10,NA,NA,NA
"192","inmediato",10,2,2.8,2.2
"193","mediante",10,NA,NA,NA
"194","mismo",10,2.1,2.1,1.8
"195","mortalidad",10,NA,NA,NA
"196","nuevo",10,2.8,1.6,2.6
"197","pago",10,2.2,2.2,2.8
"198","prácticamente",10,2.4,2.2,2.2
"199","presidente",10,1.8,2.8,3
"200","relación",10,3,3,2.4
"201","respuesta",10,2.1667,2.8333,1.8333
"202","san",10,2.6,2.2,2.2
"203","sector",10,2,1.8,2.6
"204","sino",10,NA,NA,NA
"205","sitio",10,2.2,1.4,2.2
"206","toay",10,NA,NA,NA
"207","vez",10,2,2,1.8
"208","zona",10,2,1.8,1.6
"209","antecedente",9,NA,NA,NA
"210","autónoma",9,NA,NA,NA
"211","comunidad",9,2.6,2,3
"212","contener",9,2.2,2.6,2.6
"213","coreadelsur",9,NA,NA,NA
"214","dentro",9,NA,NA,NA
"215","derechos",9,NA,NA,NA
"216","ejecutivo",9,2.2,2.4,2.6
"217","elpor",9,NA,NA,NA
"218","epidemiología",9,NA,NA,NA
"219","españa",9,NA,NA,NA
"220","establece",9,NA,NA,NA
"221","funcionario",9,1.8,2.2,2.2
"222","hizo",9,NA,NA,NA
"223","hospital",9,1.8,2.6,3
"224","laarena",9,NA,NA,NA
"225","ley",9,2,2.8,2.8
"226","mayor",9,2.3333,2.1667,3
"227","mayores",9,NA,NA,NA
"228","medio",9,1.93333333333333,2,2.4
"229","mendoza",9,NA,NA,NA
"230","misma",9,NA,NA,NA
"231","necesarias",9,NA,NA,NA
"232","pasajeros",9,NA,NA,NA
"233","positivo",9,3,3,2.8
"234","prevenir",9,NA,NA,NA
"235","promedio",9,2.2,2,2.6
"236","provincias",9,NA,NA,NA
"237","puedan",9,NA,NA,NA
"238","requiera",9,NA,NA,NA
"239","sociales",9,NA,NA,NA
"240","supermercado",9,NA,NA,NA
"241","tener",9,2.6,1.8,2.8
"242","términos",9,NA,NA,NA
"243","abril",8,NA,NA,NA
"244","ahí",8,NA,NA,NA
"245","alberto",8,NA,NA,NA
"246","aplicación",8,2.1667,2.3333,2.1667
"247","brasil",8,NA,NA,NA
"248","brindar",8,3,3,3
"249","brote",8,NA,NA,NA
"250","ciudadanos",8,NA,NA,NA
"251","cómo",8,NA,NA,NA
"252","competencias",8,NA,NA,NA
"253","comunicado",8,NA,NA,NA
"254","cumpliendo",8,NA,NA,NA
"255","destacó",8,NA,NA,NA
"256","dijeron",8,NA,NA,NA
"257","dio",8,NA,NA,NA
"258","dispuesto",8,NA,NA,NA
"259","ejercicio",8,2.4,3,3
"260","encuentren",8,NA,NA,NA
"261","epidemia",8,NA,NA,NA
"262","extranjeros",8,NA,NA,NA
"263","grave",8,1.6,2,1.8
"264","haciendo",8,NA,NA,NA
"265","horas",8,NA,NA,NA
"266","igual",8,2.24285,2.07145,2.44285
"267","importados",8,NA,NA,NA
"268","irán",8,NA,NA,NA
"269","japón",8,NA,NA,NA
"270","jurisdicciones",8,NA,NA,NA
"271","mañana",8,2.8,2.8,2.8
"272","médicos",8,NA,NA,NA
"273","objetivo",8,2.4,2.4,2.7
"274","oficial",8,2,2.2,2
"275","ómnibus",8,NA,NA,NA
"276","organismos",8,NA,NA,NA
"277","organización",8,2,2.4,2.6
"278","pasado",8,2.4,1.8,2.8
"279","prensa",8,2.2,2.6,2.4
"280","públicos",8,NA,NA,NA
"281","pueden",8,NA,NA,NA
"282","redes",8,NA,NA,NA
"283","reiteró",8,NA,NA,NA
"284","respiratorio",8,NA,NA,NA
"285","santa",8,NA,NA,NA
"286","sars",8,NA,NA,NA
"287","seguro",8,2.8,2.5,2.4
"288","sigue",8,NA,NA,NA
"289","tal",8,NA,NA,NA
"290","tras",8,NA,NA,NA
"291","último",8,1.6,1.8,2.2
"292","últimosdías",8,NA,NA,NA
"293","vigilancia",8,NA,NA,NA
"294","agencia",7,NA,NA,NA
"295","aguda",7,NA,NA,NA
"296","ámbito",7,2,1.8,1.8
"297","argentino",7,NA,NA,NA
"298","bueno",7,3,2.2,2.6
"299","cantidad",7,2,2,2.2
"300","capital",7,2.1,1.9,2.1
"301","casas",7,NA,NA,NA
"302","casi",7,NA,NA,NA
"303","centro",7,2.4,1.6,2.4
"304","cerró",7,NA,NA,NA
"305","clínico",7,NA,NA,NA
"306","comercio",7,2,2.2,2.6
"307","comercios",7,NA,NA,NA
"308","completamente",7,2.6,2.6,2.6
"309","confirmó",7,NA,NA,NA
"310","conglomerados",7,NA,NA,NA
"311","control",7,1.8,2,2.6
"312","cov",7,NA,NA,NA
"313","crecimiento",7,3,3,2
"314","cuidar",7,2.8,3,3
"315","datos",7,NA,NA,NA
"316","deben",7,NA,NA,NA
"317","decir",7,2.2,2.8,3
"318","decisión",7,2.4,2.8,2.2
"319","detecta",7,NA,NA,NA
"320","disposición",7,2.6,2,1.8
"321","distintos",7,NA,NA,NA
"322","economía",7,2,2.8,2
"323","económica",7,NA,NA,NA
"324","epidemiológicos",7,NA,NA,NA
"325","expansión",7,2,2.8,2.6
"326","familia",7,3,2.4,2.8
"327","garantizar",7,NA,NA,NA
"328","generalpico",7,NA,NA,NA
"329","global",7,2,1.8,2.8
"330","higiene",7,NA,NA,NA
"331","historial",7,NA,NA,NA
"332","ingresar",7,2.4,2.8,2.4
"333","integrada",7,NA,NA,NA
"334","internacional",7,2.3,1.9,2.4
"335","investigación",7,2.2,3,2.4
"336","llegar",7,2.4,3,3
"337","locales",7,NA,NA,NA
"338","martes",7,NA,NA,NA
"339","mecánica",7,NA,NA,NA
"340","menor",7,2,2,2.6
"341","miércoles",7,NA,NA,NA
"342","ministro",7,1.8,2,2.8
"343","mitigación",7,NA,NA,NA
"344","mujer",7,2.6,2.6,3
"345","municipal",7,2,2,2.6
"346","nacionales",7,NA,NA,NA
"347","necesidad",7,2,2.4,2.4
"348","número",7,2.1667,1.8333,2.6667
"349","odinofagia",7,NA,NA,NA
"350","oportuna",7,NA,NA,NA
"351","pampeano",7,NA,NA,NA
"352","pico",7,2.4,2.6,2.8
"353","podrán",7,NA,NA,NA
"354","posibilidad",7,2.4,2.2,2
"355","posibles",7,NA,NA,NA
"356","preocupación",7,1,2.6,2.2
"357","presentación",7,2.4,2.8,2.8
"358","probables",7,NA,NA,NA
"359","raíz",7,2.2222,1.8889,2.5556
"360","recibir",7,2.6667,2.1667,2.6667
"361","sensibilizar",7,NA,NA,NA
"362","sostenida",7,NA,NA,NA
"363","supermercados",7,NA,NA,NA
"364","suspensión",7,NA,NA,NA
"365","terminal",7,NA,NA,NA
"366","tomado",7,NA,NA,NA
"367","últimos",7,NA,NA,NA
"368","unidad",7,2.4,2.2,2.4
"369","vía",7,2,1.6,2.2
"370","vida",7,2.8,2.2,2.4
"371","vigencia",7,NA,NA,NA
"372","virtud",7,2.8,2.2,2.6
"373","whatsapp",7,NA,NA,NA
"374","acciones",6,NA,NA,NA
"375","aclaró",6,NA,NA,NA
"376","actualizado",6,NA,NA,NA
