"","palabra","freq","magrado","mactivacion","mimag"
"377","advirtió",6,NA,NA,NA
"378","alrededor",6,2.2,1.6,2.4
"379","alta",6,NA,NA,NA
"380","amplió",6,NA,NA,NA
"381","apoyo",6,3,3,2.6
"382","aseguró",6,NA,NA,NA
"383","avenida",6,2,2.6,3
"384","baja",6,NA,NA,NA
"385","buena",6,NA,NA,NA
"386","cadetes",6,NA,NA,NA
"387","cartera",6,NA,NA,NA
"388","centros",6,NA,NA,NA
"389","cerca",6,NA,NA,NA
"390","cifra",6,NA,NA,NA
"391","código",6,2.4,2.4,2.8
"392","coexisten",6,NA,NA,NA
"393","comprar",6,2.8,3,3
"394","concluyó",6,NA,NA,NA
"395","confirmado",6,NA,NA,NA
"396","contagiados",6,NA,NA,NA
"397","contexto",6,2,1.6,2.2
"398","cumplan",6,NA,NA,NA
"399","curva",6,NA,NA,NA
"400","deberán",6,NA,NA,NA
"401","declaró",6,NA,NA,NA
"402","delde",6,NA,NA,NA
"403","denuncia",6,NA,NA,NA
"404","detectar",6,NA,NA,NA
"405","dieron",6,NA,NA,NA
"406","dispuestas",6,NA,NA,NA
"407","ello",6,NA,NA,NA
"408","escuelas",6,NA,NA,NA
"409","fase",6,2,1.4,1.6
"410","función",6,2,2,2.2
"411","gran",6,2.4,2.2,2.6
"412","hecho",6,2.1667,2.1667,1.6667
"413","jefe",6,1.6,2.6,3
"414","localidad",6,2,2,2
"415","lugares",6,NA,NA,NA
"416","madrid",6,NA,NA,NA
"417","meses",6,NA,NA,NA
"418","momentos",6,NA,NA,NA
"419","mucha",6,NA,NA,NA
"420","noche",6,2.6,2,3
"421","nuevos",6,NA,NA,NA
"422","oficiales",6,NA,NA,NA
"423","oposición",6,1.6,2.8,2.6
"424","pampeanas",6,NA,NA,NA
"425","pareja",6,2.8,2.4,3
"426","penal",6,NA,NA,NA
"427","petróleo",6,NA,NA,NA
"428","posible",6,2.8,2.2,2.4
"429","preventiva",6,NA,NA,NA
"430","preventivas",6,NA,NA,NA
"431","primer",6,NA,NA,NA
"432","primera",6,NA,NA,NA
"433","prisión",6,1.2,1.8,2
"434","profesionales",6,NA,NA,NA
"435","provinciales",6,NA,NA,NA
"436","recaudos",6,NA,NA,NA
"437","reino",6,2.4,2.2,2.6
"438","resolución",6,2.3333,2.5,2.3333
"439","resto",6,2.1667,2,1.8333
"440","restricciones",6,NA,NA,NA
"441","resultado",6,2.2,1.6,1.8
"442","reunión",6,2.6,2.6,3
"443","rosada",6,NA,NA,NA
"444","sábado",6,NA,NA,NA
"445","sabatini",6,NA,NA,NA
"446","saber",6,2.9,2.9,2.4
"447","salir",6,2.6,3,3
"448","sanitario",6,NA,NA,NA
"449","semanas",6,NA,NA,NA
"450","sociedad",6,2.6,2.6,2.8
"451","territorio",6,2.1667,1.6667,2.8333
"452","tomadas",6,NA,NA,NA
"453","tomó",6,NA,NA,NA
"454","trabaja",6,NA,NA,NA
"455","trabajando",6,NA,NA,NA
"456","últimas",6,NA,NA,NA
"457","unido",6,NA,NA,NA
"458","urgencia",6,NA,NA,NA
"459","vamos",6,NA,NA,NA
"460","vigente",6,NA,NA,NA
"461","actual",5,2,1.8,2.2
"462","aeropuerto",5,2.2,2,3
"463","áreas",5,NA,NA,NA
"464","asegurar",5,2.4545,2.8182,1.8182
"465","avance",5,3,3,3
"466","best",5,NA,NA,NA
"467","bocalatte",5,NA,NA,NA
"468","carretera",5,2.4,1.6,3
"469","caza",5,1.6,2.8,3
"470","cerrar",5,1.6667,3,3
"471","cierre",5,NA,NA,NA
"472","circular",5,2.2,2.4,2.2
"473","comunicación",5,2.8,2.8,2.8
"474","contactos",5,NA,NA,NA
"475","contagio",5,NA,NA,NA
"476","continúa",5,NA,NA,NA
"477","cotos",5,NA,NA,NA
"478","cuanto",5,2.1111,2,1.6667
"479","cuyo",5,NA,NA,NA
"480","deban",5,NA,NA,NA
"481","decisiones",5,NA,NA,NA
"482","dede",5,NA,NA,NA
"483","demanda",5,1.6,2.8,2.2
"484","demás",5,NA,NA,NA
"485","denuncias",5,NA,NA,NA
"486","deporte",5,2.8,3,2.8
"487","deportes",5,NA,NA,NA
"488","desarrollo",5,2.6,3,2.8
"489","detenidos",5,NA,NA,NA
"490","dispone",5,NA,NA,NA
"491","distancia",5,1.8,1.6,2.8
"492","distintas",5,NA,NA,NA
"493","dnu",5,NA,NA,NA
"494","dybala",5,NA,NA,NA
"495","empleados",5,NA,NA,NA
"496","entiende",5,NA,NA,NA
"497","esperando",5,NA,NA,NA
"498","estrechos",5,NA,NA,NA
"499","eventos",5,NA,NA,NA
"500","exención",5,NA,NA,NA
"501","exterior",5,2.2,1.7,2.7
"502","fallecidos",5,NA,NA,NA
"503","falta",5,1.8,2,2
"504","familias",5,NA,NA,NA
"505","fernández",5,NA,NA,NA
"506","fiscales",5,NA,NA,NA
"507","funciones",5,NA,NA,NA
"508","garcía",5,NA,NA,NA
"509","gremio",5,NA,NA,NA
"510","hacemos",5,NA,NA,NA
"511","hacia",5,NA,NA,NA
"512","hicieron",5,NA,NA,NA
"513","hora",5,2,1.4,2.2
"514","iban",5,NA,NA,NA
"515","implementar",5,NA,NA,NA
"516","indicó",5,NA,NA,NA
"517","intendente",5,NA,NA,NA
"518","intervención",5,2,3,2.2
"519","isabel",5,NA,NA,NA
"520","juicio",5,1.8,2.8,2.8
"521","junto",5,2.5,2.2,2.5
"522","justicia",5,2.8333,2.5,2.6667
"523","lashoras",5,NA,NA,NA
"524","licencia",5,NA,NA,NA
"525","llamado",5,NA,NA,NA
"526","llegó",5,NA,NA,NA
"527","lleva",5,NA,NA,NA
"528","llevar",5,2,2.6,3
"529","malbrán",5,NA,NA,NA
"530","mantener",5,1.8,3,1.6
"531","medicamentos",5,NA,NA,NA
"532","medios",5,NA,NA,NA
"533","municipales",5,NA,NA,NA
"534","municipalidad",5,NA,NA,NA
"535","nadie",5,NA,NA,NA
"536","ningún",5,NA,NA,NA
"537","normas",5,NA,NA,NA
"538","nueva",5,NA,NA,NA
"539","obligación",5,1.6,2.4,2.8
"540","oms",5,NA,NA,NA
"541","paraná",5,NA,NA,NA
"542","pbi",5,NA,NA,NA
"543","permanecer",5,2.6,1.6,2
"544","permanecido",5,NA,NA,NA
"545","pidió",5,NA,NA,NA
"546","pocos",5,NA,NA,NA
"547","podría",5,NA,NA,NA
"548","política",5,1.8,2.4,2.4
"549","políticas",5,NA,NA,NA
"550","proteger",5,2.8,3,2.8
"551","protocolos",5,NA,NA,NA
"552","pudo",5,NA,NA,NA
"553","pueda",5,NA,NA,NA
"554","razones",5,NA,NA,NA
"555","realizando",5,NA,NA,NA
"556","realizar",5,2.6,3,2.8
"557","reconocidos",5,NA,NA,NA
"558","recordó",5,NA,NA,NA
"559","residencia",5,2.6,2,2.8
"560","seattle",5,NA,NA,NA
"561","seguir",5,2.4,2.6,2.8
"562","suspender",5,2,2,1.6
"563","tasa",5,NA,NA,NA
"564","telefónico",5,NA,NA,NA
"565","tierra",5,2.4,2,3
"566","tipo",5,1.8,2,1.2
"567","torneos",5,NA,NA,NA
"568","trabajador",5,2.2,2.8,2.8
"569","trabajadoras",5,NA,NA,NA
"570","trabajar",5,2.6,3,3
"571","traslado",5,NA,NA,NA
"572","tratamiento",5,1.6667,2.6667,2.6667
"573","trump",5,NA,NA,NA
"574","turistas",5,NA,NA,NA
"575","viene",5,NA,NA,NA
"576","viral",5,NA,NA,NA
"577","virtual",5,NA,NA,NA
"578","acha",4,NA,NA,NA
"579","acuerdo",4,2.4,3,2.6
"580","adelante",4,2.4,2.2,3
"581","afectadas",4,NA,NA,NA
"582","alcance",4,2,2,2
"583","alimentos",4,NA,NA,NA
"584","alumnos",4,NA,NA,NA
"585","analiza",4,NA,NA,NA
"586","anda",4,NA,NA,NA
"587","anónima",4,NA,NA,NA
"588","aquellas",4,NA,NA,NA
"589","aquellos",4,NA,NA,NA
"590","artículode",4,NA,NA,NA
"591","asimismo",4,NA,NA,NA
"592","audio",4,NA,NA,NA
"593","ayuda",4,2.6,3,2.6
"594","bajo",4,2,2,2.9
"595","bang",4,NA,NA,NA
"596","beneficiarios",4,NA,NA,NA
"597","brindando",4,NA,NA,NA
"598","busto",4,NA,NA,NA
"599","cafiero",4,NA,NA,NA
"600","call",4,NA,NA,NA
"601","cámara",4,2.6,2.8,3
"602","cámaras",4,NA,NA,NA
"603","center",4,NA,NA,NA
"604","chaco",4,NA,NA,NA
"605","chino",4,NA,NA,NA
"606","ciencia",4,2.6,3,3
"607","colectivo",4,2.4,2.4,2.8
"608","colectivos",4,NA,NA,NA
"609","competencia",4,1.6,2.8,2.4
"610","competentes",4,NA,NA,NA
"611","comunicó",4,NA,NA,NA
"612","conciencia",4,2.375,2.375,1.875
"613","condiciones",4,NA,NA,NA
"614","conforme",4,NA,NA,NA
"615","conocer",4,2.8,2.8,2.4
"616","conocimiento",4,3,2.4,3
"617","considerar",4,2.3333,2.5,1.6667
"618","constitución",4,2.4,2.2,2.4
"619","continuidad",4,NA,NA,NA
"620","coordinación",4,NA,NA,NA
"621","correspondiera",4,NA,NA,NA
"622","crucero",4,NA,NA,NA
"623","cualesfallecieron",4,NA,NA,NA
"624","cuidado",4,2.6,3,2.6
"625","deberá",4,NA,NA,NA
"626","dedías",4,NA,NA,NA
"627","depersonas",4,NA,NA,NA
"628","dese",4,NA,NA,NA
"629","dey",4,NA,NA,NA
"630","diez",4,NA,NA,NA
"631","dinámica",4,NA,NA,NA
"632","directo",4,2.6,2.8,2.8
"633","disposiciones",4,NA,NA,NA
"634","dolor",4,1,2.6,2.8
"635","domicilio",4,NA,NA,NA
"636","económico",4,2.2,1.8,2.6
"637","efectivo",4,NA,NA,NA
"638","elen",4,NA,NA,NA
"639","embargo",4,NA,NA,NA
"640","empresas",4,NA,NA,NA
"641","entonces",4,NA,NA,NA
"642","escenario",4,2.4,2,2.6
"643","espacios",4,NA,NA,NA
"644","espera",4,2,1.6,2.2
"645","establecimientos",4,NA,NA,NA
"646","estudios",4,NA,NA,NA
"647","evite",4,NA,NA,NA
"648","falso",4,1.4,2.2,2.6
"649","farmacias",4,NA,NA,NA
"650","federal",4,2.4,2,1.6
"651","flash",4,NA,NA,NA
"652","fronteras",4,NA,NA,NA
"653","gabinete",4,NA,NA,NA
"654","garganta",4,2.2,2,2.8
"655","gas",4,NA,NA,NA
"656","gobernador",4,1.7,2.5,3
"657","gobiernos",4,NA,NA,NA
"658","habitantes",4,NA,NA,NA
"659","haga",4,NA,NA,NA
"660","hechos",4,NA,NA,NA
"661","horadel",4,NA,NA,NA
"662","idea",4,2.8,3,2.4
"663","impedir",4,1.2,3,2.6
"664","importancia",4,2.4,2.4,2
"665","impuestos",4,NA,NA,NA
"666","inclusive",4,NA,NA,NA
"667","incluso",4,NA,NA,NA
"668","incluye",4,NA,NA,NA
"669","industrias",4,NA,NA,NA
"670","infección",4,NA,NA,NA
"671","infectadas",4,NA,NA,NA
"672","ingreso",4,2.2,2.6,2.2
"673","ingresos",4,NA,NA,NA
"674","iniciativa",4,2.8,2.8,2.8
"675","inmediatamente",4,1.8,2.6,2
"676","insta",4,NA,NA,NA
"677","instituto",4,2.4,2.2,2.6
"678","insumos",4,NA,NA,NA
"679","jugador",4,2.8,3,3
"680","justamente",4,NA,NA,NA
"681","kohan",4,NA,NA,NA
"682","laboratorios",4,NA,NA,NA
"683","lado",4,2,1.6,2.4
"684","lasde",4,NA,NA,NA
"685","league",4,2.2,2.2,1.8
"686","legends",4,NA,NA,NA
"687","limpieza",4,NA,NA,NA
"688","línea",4,2.2,2,3
"689","líneas",4,NA,NA,NA
"690","listado",4,NA,NA,NA
"691","llevó",4,NA,NA,NA
"692","lucha",4,1.6,3,2.8
"693","luján",4,NA,NA,NA
"694","manifestó",4,NA,NA,NA
"695","martesde",4,NA,NA,NA
"696","máxima",4,NA,NA,NA
"697","mejores",4,NA,NA,NA
"698","modo",4,2,1.8,1.6
"699","mouras",4,NA,NA,NA
"700","muertes",4,NA,NA,NA
"701","nápoli",4,NA,NA,NA
"702","necesitamos",4,NA,NA,NA
"703","negro",4,2.2,2,2.9
"704","noticias",4,NA,NA,NA
"705","nuevas",4,NA,NA,NA
"706","obliga",4,NA,NA,NA
"707","obligaciones",4,NA,NA,NA
"708","obligatoria",4,NA,NA,NA
"709","obviamente",4,NA,NA,NA
"710","online",4,NA,NA,NA
"711","orden",4,2.1667,2.3333,2.5
"712","ordenó",4,NA,NA,NA
"713","origen",4,2.2,1.8,1.8
"714","otorgamiento",4,NA,NA,NA
"715","página",4,2.2,2.4,3
"716","pampeana",4,NA,NA,NA
"717","pasa",4,NA,NA,NA
"718","paso",4,2,2.4,2.2
"719","pasó",4,NA,NA,NA
"720","paturlanne",4,NA,NA,NA
"721","pedido",4,NA,NA,NA
"722","permanente",4,2,2.6,1.8
"723","plazo",4,1.6,2,2.4
"724","políticos",4,NA,NA,NA
"725","positivos",4,NA,NA,NA
"726","principalmente",4,2,2.2,1.6
"727","procedan",4,NA,NA,NA
"728","protección",4,2.4,3,2.8
"729","próximos",4,NA,NA,NA
"730","punto",4,2,1.6,2.6
"731","racca",4,NA,NA,NA
"732","rápida",4,NA,NA,NA
"733","real",4,2.3333,2.3333,2.5
"734","refiera",4,NA,NA,NA
"735","registra",4,NA,NA,NA
"736","registró",4,NA,NA,NA
"737","respirar",4,2.6,3,3
"738","resultados",4,NA,NA,NA
"739","rosario",4,NA,NA,NA
"740","rutas",4,NA,NA,NA
"741","sabe",4,NA,NA,NA
"742","saben",4,NA,NA,NA
"743","santiago",4,NA,NA,NA
"744","seccional",4,NA,NA,NA
"745","secretario",4,2,2.4,2.8
"746","sectores",4,NA,NA,NA
"747","seguimiento",4,NA,NA,NA
"748","siempre",4,NA,NA,NA
"749","sintomáticos",4,NA,NA,NA
"750","sostuvo",4,NA,NA,NA
"751","tan",4,2,1.8,1.4
"752","tarde",4,2.5,2.5,2.8333
"753","test",4,NA,NA,NA
"754","todavía",4,2.4,1.8,1.8
"755","torneo",4,2.4,3,2.8
"756","turismo",4,3,3,3
"757","ubicada",4,NA,NA,NA
"758","vecinos",4,NA,NA,NA
"759","viajes",4,NA,NA,NA
"760","vías",4,NA,NA,NA
"761","voz",4,2.4,2.8,2.8
"762","web",4,2.6,2.4,2.6
"763","abordaje",3,NA,NA,NA
"764","actc",3,NA,NA,NA
"765","activó",3,NA,NA,NA
"766","acudir",3,2.4,2.8,2.8
"767","afectados",3,NA,NA,NA
"768","afrontar",3,NA,NA,NA
"769","agrega",3,NA,NA,NA
"770","alcanzar",3,3,3,2.8
"771","alimentación",3,NA,NA,NA
"772","allá",3,2,2.2,2.6
"773","alojamiento",3,NA,NA,NA
"774","altas",3,NA,NA,NA
"775","ambos",3,NA,NA,NA
"776","análisis",3,2.8,3,2.4
"777","andrés",3,NA,NA,NA
"778","anoche",3,2.6,1.8,2.6
"779","anteriores",3,NA,NA,NA
"780","anunció",3,NA,NA,NA
"781","aparentemente",3,2.2,1.8,1.8
"782","arriba",3,NA,NA,NA
"783","artículos",3,NA,NA,NA
"784","asignación",3,NA,NA,NA
"785","asociación",3,1.8,2,1.4
"786","atender",3,2.4,3,2.8
"787","atrás",3,1.8,1.8,2.6
"788","aumento",3,2.2,2.4,2.6
"789","autoridad",3,2.2,3,3
"790","bariloche",3,NA,NA,NA
"791","bastante",3,NA,NA,NA
"792","belgas",3,NA,NA,NA
"793","bongianino",3,NA,NA,NA
"794","buenosairesde",3,NA,NA,NA
