"","palabra","freq","magrado","mactivacion","mimag"
"51","riesgo",4,1.2,2.6,2.8
"52","según",4,NA,NA,NA
"53","viajes",4,NA,NA,NA
"54","ahora",3,NA,NA,NA
"55","argentina",3,NA,NA,NA
"56","aunque",3,NA,NA,NA
"57","bajo",3,2,2,2.9
"58","caso",3,2,1.8,1.4
"59","causa",3,2.4,2.4,2.2
"60","clínica",3,NA,NA,NA
"61","coreadelsur",3,NA,NA,NA
"62","cuatro",3,NA,NA,NA
"63","departamento",3,2.2,1.8,2.8
"64","detectados",3,NA,NA,NA
"65","diagnosticados",3,NA,NA,NA
"66","diariotextual",3,NA,NA,NA
"67","dijeron",3,NA,NA,NA
"68","dos",3,NA,NA,NA
"69","elde",3,NA,NA,NA
"70","encuentra",3,NA,NA,NA
"71","españa",3,NA,NA,NA
"72","especial",3,2.6,1.8,2.4
"73","excepcional",3,NA,NA,NA
"74","fiebre",3,NA,NA,NA
"75","fuentes",3,NA,NA,NA
"76","gotículas",3,NA,NA,NA
"77","gripe",3,NA,NA,NA
"78","importados",3,NA,NA,NA
"79","luego",3,NA,NA,NA
"80","momento",3,2.2,1.6,1.8
"81","mundial",3,2.3333,2.1667,2.5
"82","mundo",3,2.4,2,2.8
"83","primer",3,NA,NA,NA
"84","protocolos",3,NA,NA,NA
"85","público",3,2.3,2.3,2.9
"86","relación",3,3,3,2.4
"87","resolución",3,2.3333,2.5,2.3333
"88","sanitarias",3,NA,NA,NA
"89","semana",3,2,2.4,2.6
"90","supera",3,NA,NA,NA
"91","territorio",3,2.1667,1.6667,2.8333
"92","tocan",3,NA,NA,NA
"93","tos",3,NA,NA,NA
"94","toser",3,NA,NA,NA
"95","trabajo",3,2.3333,2.6667,2.5
"96","trata",3,NA,NA,NA
"97","través",3,2,2,1
"98","ymuertes",3,NA,NA,NA
"99","acuerdo",2,2.4,3,2.6
"100","administración",2,2,2.1667,2.5
"101","afectadas",2,NA,NA,NA
"102","afectados",2,NA,NA,NA
"103","agregó",2,NA,NA,NA
"104","agua",2,2.6,2,3
"105","aiming",2,NA,NA,NA
"106","aislado",2,NA,NA,NA
"107","alguien",2,NA,NA,NA
"108","alguna",2,NA,NA,NA
"109","amplía",2,NA,NA,NA
"110","áreas",2,NA,NA,NA
"111","así",2,NA,NA,NA
"112","asiático",2,NA,NA,NA
"113","autoridades",2,NA,NA,NA
"114","beijing",2,NA,NA,NA
"115","brote",2,NA,NA,NA
"116","capital",2,2.1,1.9,2.1
"117","causada",2,NA,NA,NA
"118","centro",2,2.4,1.6,2.4
"119","cercano",2,2.4,2.2,2.6
"120","chino",2,NA,NA,NA
"121","cinco",2,NA,NA,NA
"122","codo",2,NA,NA,NA
"123","comprobó",2,NA,NA,NA
"124","confirmado",2,NA,NA,NA
"125","conmuertos",2,NA,NA,NA
"126","consulares",2,NA,NA,NA
"127","consultado",2,NA,NA,NA
"128","contagios",2,NA,NA,NA
"129","continúa",2,NA,NA,NA
"130","contraer",2,1.8,2.6,2.4
"131","controles",2,NA,NA,NA
"132","convenio",2,NA,NA,NA
"133","córdoba",2,NA,NA,NA
"134","corresponde",2,NA,NA,NA
"135","cubrir",2,2.4,3,2.6
"136","cui",2,NA,NA,NA
"137","deaños",2,NA,NA,NA
"138","decasos",2,NA,NA,NA
"139","decidieron",2,NA,NA,NA
"140","dependencia",2,NA,NA,NA
"141","después",2,NA,NA,NA
"142","diciembre",2,NA,NA,NA
"143","dificultad",2,1.6,2.4,2.4
"144","dijo",2,NA,NA,NA
"145","director",2,2,2.4,2.8
"146","empresario",2,2.1667,2.8333,2.6667
"147","encontraba",2,NA,NA,NA
"148","entrada",2,2.4,2.2,2.8
"149","estornudar",2,NA,NA,NA
"150","evitar",2,1.8,3,2.4
"151","explicó",2,NA,NA,NA
"152","exteriores",2,NA,NA,NA
"153","familia",2,3,2.4,2.8
"154","frente",2,2,1.9,2.1
"155","general",2,2.2,1.8,1.9
"156","gigante",2,1.9,2.1,3
"157","gobierno",2,2,2.6667,2.8333
"158","grave",2,1.6,2,1.8
"159","hizo",2,NA,NA,NA
"160","hoy",2,NA,NA,NA
"161","hubei",2,NA,NA,NA
"162","identidad",2,2,2,2
"163","importación",2,NA,NA,NA
"164","infección",2,NA,NA,NA
"165","infecciones",2,NA,NA,NA
"166","informó",2,NA,NA,NA
"167","insuficiencia",2,NA,NA,NA
"168","internado",2,NA,NA,NA
"169","israel",2,NA,NA,NA
"170","jueves",2,NA,NA,NA
"171","laboral",2,NA,NA,NA
"172","lavarse",2,NA,NA,NA
"173","llegó",2,NA,NA,NA
"174","mal",2,NA,NA,NA
"175","manera",2,2,2,1.2
"176","mantener",2,1.8,3,1.6
"177","marzo",2,NA,NA,NA
"178","mayoría",2,1.8,2,2.4
"179","medidas",2,NA,NA,NA
"180","ministro",2,1.8,2,2.8
"181","misma",2,NA,NA,NA
"182","modificar",2,2.4,3,2.6
"183","nasal",2,NA,NA,NA
"184","necesario",2,2,1.8,1.6
"185","necesidad",2,2,2.4,2.4
"186","ningún",2,NA,NA,NA
"187","normales",2,NA,NA,NA
"188","normativamente",2,NA,NA,NA
"189","objetos",2,NA,NA,NA
"190","ojos",2,NA,NA,NA
"191","organización",2,2,2.4,2.6
"192","otorga",2,NA,NA,NA
"193","pacientes",2,NA,NA,NA
"194","padecía",2,NA,NA,NA
"195","pañuelo",2,NA,NA,NA
"196","posible",2,2.8,2.2,2.4
"197","prensa",2,2.2,2.6,2.4
"198","prevenir",2,NA,NA,NA
"199","prevista",2,NA,NA,NA
"200","propaga",2,NA,NA,NA
"201","propagando",2,NA,NA,NA
"202","provincial",2,2.2,2,2.4
"203","pudieran",2,NA,NA,NA
"204","realizar",2,2.6,3,2.8
"205","registraron",2,NA,NA,NA
"206","registre",2,NA,NA,NA
"207","regresen",2,NA,NA,NA
"208","remuneraciones",2,NA,NA,NA
"209","respirar",2,2.6,3,3
"210","respiratoria",2,NA,NA,NA
"211","respiratorias",2,NA,NA,NA
"212","sábado",2,NA,NA,NA
"213","seis",2,NA,NA,NA
"214","sigue",2,NA,NA,NA
"215","solo",2,1.7,1.7,2.9
"216","sospechosos",2,NA,NA,NA
"217","surgió",2,NA,NA,NA
"218","tarde",2,2.5,2.5,2.8333
"219","tener",2,2.6,1.8,2.8
"220","toda",2,NA,NA,NA
"221","total",2,2,1.8,1.6
"222","trabajadoras",2,NA,NA,NA
"223","tratamiento",2,1.6667,2.6667,2.6667
"224","últimas",2,NA,NA,NA
"225","último",2,1.6,1.8,2.2
"226","últimos",2,NA,NA,NA
"227","varios",2,NA,NA,NA
"228","viajado",2,NA,NA,NA
"229","viaje",2,2.6,2.8,2.8
"230","viernes",2,NA,NA,NA
"231","wuhan",2,NA,NA,NA
"232","ycasos",2,NA,NA,NA
"233","abel",1,NA,NA,NA
"234","acceso",1,2.1429,1.8571,2
"235","aceleradamente",1,NA,NA,NA
"236","actualmente",1,NA,NA,NA
"237","acudió",1,NA,NA,NA
"238","además",1,NA,NA,NA
"239","adicionales",1,NA,NA,NA
"240","aduanas",1,NA,NA,NA
"241","aeropuerto",1,2.2,2,3
"242","afecciones",1,NA,NA,NA
"243","afectará",1,NA,NA,NA
"244","afecte",1,NA,NA,NA
"245","agencia",1,NA,NA,NA
"246","agote",1,NA,NA,NA
"247","aislación",1,NA,NA,NA
"248","aislamiento",1,NA,NA,NA
"249","alcances",1,NA,NA,NA
"250","alcanzó",1,NA,NA,NA
"251","alcohol",1,2.2,2,2.8
"252","alde",1,NA,NA,NA
"253","alemán",1,NA,NA,NA
"254","alemania",1,NA,NA,NA
"255","alimentos",1,NA,NA,NA
"256","allí",1,NA,NA,NA
"257","alrededor",1,2.2,1.6,2.4
"258","alta",1,NA,NA,NA
