"","palabra","freq","magrado","mactivacion","mimag"
"2763","departamentos",1,NA,NA,NA
"2764","dependen",1,NA,NA,NA
"2765","dependencia",1,NA,NA,NA
"2766","depender",1,1.6,2,2.4
"2767","depersonasnuevos",1,NA,NA,NA
"2768","depesos",1,NA,NA,NA
"2769","deporte",1,2.8,3,2.8
"2770","deportivas",1,NA,NA,NA
"2771","deproveniente",1,NA,NA,NA
"2772","derivada",1,NA,NA,NA
"2773","derrotada",1,NA,NA,NA
"2774","desafíos",1,NA,NA,NA
"2775","desarraigo",1,NA,NA,NA
"2776","desastre",1,NA,NA,NA
"2777","desató",1,NA,NA,NA
"2778","descarga",1,NA,NA,NA
"2779","descargas",1,NA,NA,NA
"2780","descartadoscasos",1,NA,NA,NA
"2781","descartaronhaycasos",1,NA,NA,NA
"2782","descartó",1,NA,NA,NA
"2783","descender",1,2.4,2.8,2.6
"2784","desconoce",1,NA,NA,NA
"2785","desconocer",1,1.4,1.6,1.6
"2786","descripción",1,2,2.2,2.2
"2787","descuentos",1,NA,NA,NA
"2788","desdela",1,NA,NA,NA
"2789","desdobló",1,NA,NA,NA
"2790","desecamiento",1,NA,NA,NA
"2791","desempleo",1,NA,NA,NA
"2792","desertificación",1,NA,NA,NA
"2793","desertizaciones",1,NA,NA,NA
"2794","desfavorablemente",1,NA,NA,NA
"2795","desinfecciones",1,NA,NA,NA
"2796","desinfectantes",1,NA,NA,NA
"2797","desinfectaron",1,NA,NA,NA
"2798","desmalezado",1,NA,NA,NA
"2799","desmalezados",1,NA,NA,NA
"2800","desmejora",1,NA,NA,NA
"2801","desnutrición",1,NA,NA,NA
"2802","desodorizante",1,NA,NA,NA
"2803","desordenada",1,NA,NA,NA
"2804","despacho",1,NA,NA,NA
"2805","desparramó",1,NA,NA,NA
"2806","despiden",1,NA,NA,NA
"2807","despidiendo",1,NA,NA,NA
"2808","desprende",1,NA,NA,NA
"2809","destapar",1,NA,NA,NA
"2810","destinen",1,NA,NA,NA
"2811","destinó",1,NA,NA,NA
"2812","desuso",1,NA,NA,NA
"2813","detallada",1,NA,NA,NA
"2814","detecta",1,NA,NA,NA
"2815","detectar",1,NA,NA,NA
"2816","detenciones",1,NA,NA,NA
"2817","deteniendo",1,NA,NA,NA
"2818","detentan",1,NA,NA,NA
"2819","determinación",1,NA,NA,NA
"2820","determinado",1,NA,NA,NA
"2821","determinados",1,NA,NA,NA
"2822","determinando",1,NA,NA,NA
"2823","determinantes",1,NA,NA,NA
"2824","determine",1,NA,NA,NA
"2825","detuvo",1,NA,NA,NA
"2826","deuda",1,1.2,1.8,2.8
