"","palabra","freq","magrado","mactivacion","mimag"
"51","nación",32,2.8,3,2.8
"52","social",32,2.4,2,2
"53","autoridades",31,NA,NA,NA
"54","viaje",31,2.6,2.8,2.8
"55","gobernador",30,1.7,2.5,3
"56","internado",30,NA,NA,NA
"57","ministro",30,1.8,2,2.8
"58","santarosa",30,NA,NA,NA
"59","síntomas",30,NA,NA,NA
"60","contención",29,NA,NA,NA
"61","hacer",29,2.4,3,2.8
"62","ser",29,2.6,2.7,2.2
"63","vez",29,2,2,1.8
"64","protocolo",28,NA,NA,NA
"65","semana",28,2,2.4,2.6
"66","fin",27,2,2.2,2.2
"67","población",27,NA,NA,NA
"68","primer",27,NA,NA,NA
"69","sistema",27,2.2,2.2,1.2
"70","trata",27,NA,NA,NA
"71","través",27,2,2,1
"72","cuenta",26,2,1.8,2.4
"73","diario",26,2.14285,2.27145,2.64285
"74","encuentra",26,NA,NA,NA
"75","mayo",26,NA,NA,NA
"76","mientras",26,NA,NA,NA
"77","nuevos",26,NA,NA,NA
"78","propagación",26,NA,NA,NA
"79","pública",26,NA,NA,NA
"80","trabajo",26,2.3333,2.6667,2.5
"81","tres",26,NA,NA,NA
"82","ahora",25,NA,NA,NA
"83","antecedente",25,NA,NA,NA
"84","así",25,NA,NA,NA
"85","brasil",25,NA,NA,NA
"86","encuentran",25,NA,NA,NA
"87","fecha",25,2.4,2,2
"88","forma",25,2.2,1.8,1.4
"89","obligatoria",25,NA,NA,NA
"90","pampeanos",25,NA,NA,NA
"91","terapia",25,NA,NA,NA
"92","abril",24,NA,NA,NA
"93","etapa",24,2.2,2.4,2.6
"94","preventivo",24,NA,NA,NA
"95","tener",24,2.6,1.8,2.8
"96","todas",24,NA,NA,NA
"97","vamos",24,NA,NA,NA
"98","centro",23,2.4,1.6,2.4
"99","mitigación",23,NA,NA,NA
"100","positivo",23,3,3,2.8
"101","sanitarias",23,NA,NA,NA
"102","seguimiento",23,NA,NA,NA
"103","alberto",22,NA,NA,NA
"104","confirmó",22,NA,NA,NA
"105","enfermedad",22,1.2,2,2.8
"106","epidemiológica",22,NA,NA,NA
"107","mandatario",22,NA,NA,NA
"108","martes",22,NA,NA,NA
"109","medio",22,1.93333333333333,2,2.4
"110","mundo",22,2.4,2,2.8
"111","nueva",22,NA,NA,NA
"112","países",22,NA,NA,NA
"113","puede",22,NA,NA,NA
"114","cuatro",21,NA,NA,NA
"115","españa",21,NA,NA,NA
"116","instituto",21,2.4,2.2,2.6
"117","malbrán",21,NA,NA,NA
"118","mayor",21,2.3333,2.1667,3
"119","primera",21,NA,NA,NA
"120","seguridad",21,2.8,2.8,2.4
"121","sentido",21,2.4,2.4,1.6
"122","solo",21,1.7,1.7,2.9
"123","sostuvo",21,NA,NA,NA
"124","chaco",20,NA,NA,NA
"125","comunitaria",20,NA,NA,NA
"126","detectar",20,NA,NA,NA
"127","intensiva",20,NA,NA,NA
"128","italia",20,NA,NA,NA
"129","persona",20,2.4,2.6,2.8
"130","policía",20,1.8,2.2,3
"131","buenosaires",19,NA,NA,NA
"132","casa",19,2.8,1.4,2.8
"133","circulación",19,NA,NA,NA
"134","horas",19,NA,NA,NA
"135","indicó",19,NA,NA,NA
"136","investigación",19,2.2,3,2.4
"137","jueves",19,NA,NA,NA
"138","lunes",19,NA,NA,NA
"139","necesario",19,2,1.8,1.6
"140","pampeano",19,NA,NA,NA
"141","respiratoria",19,NA,NA,NA
"142","seis",19,NA,NA,NA
"143","tiempo",19,2,2,2.2
"144","alcohol",18,2.2,2,2.8
"145","bien",18,3,2.4,2.4
"146","clínica",18,NA,NA,NA
"147","cumpliendo",18,NA,NA,NA
"148","decreto",18,2,2.6,1.4
"149","estrategias",18,NA,NA,NA
"150","exterior",18,2.2,1.7,2.7
"151","gente",18,2.4,2.2,3
"152","infectados",18,NA,NA,NA
"153","manera",18,2,2,1.2
"154","menos",18,NA,NA,NA
"155","toda",18,NA,NA,NA
"156","unidades",18,NA,NA,NA
"157","van",18,NA,NA,NA
"158","advirtió",17,NA,NA,NA
"159","allí",17,NA,NA,NA
"160","comunidad",17,2.6,2,3
"161","dede",17,NA,NA,NA
"162","después",17,NA,NA,NA
"163","diagnóstico",17,NA,NA,NA
"164","haber",17,2,1.8,1.8
"165","hace",17,NA,NA,NA
"166","pico",17,2.4,2.6,2.8
"167","san",17,2.6,2.2,2.2
"168","unidos",17,NA,NA,NA
"169","uso",17,2,2.6,2.4
"170","barbijos",16,NA,NA,NA
"171","cantidad",16,2,2,2.2
"172","centeno",16,NA,NA,NA
"173","comprar",16,2.8,3,3
"174","contagios",16,NA,NA,NA
"175","contener",16,2.2,2.6,2.6
"176","delde",16,NA,NA,NA
"177","deunidades",16,NA,NA,NA
"178","fiebre",16,NA,NA,NA
"179","llegar",16,2.4,3,3
"180","local",16,2.18335,1.81665,2.3
"181","mayoría",16,1.8,2,2.4
"182","nuevo",16,2.8,1.6,2.6
"183","personal",16,2.5,2.4,2.6
"184","posible",16,2.8,2.2,2.4
"185","realizar",16,2.6,3,2.8
"186","respecto",16,2,2,1.6
"187","santa",16,NA,NA,NA
"188","aislado",15,NA,NA,NA
"189","camas",15,NA,NA,NA
"190","contagio",15,NA,NA,NA
"191","controles",15,NA,NA,NA
"192","crisis",15,2,2.4,2.4
"193","diariotextual",15,NA,NA,NA
"194","domingo",15,NA,NA,NA
"195","fuentes",15,NA,NA,NA
"196","hospitales",15,NA,NA,NA
"197","lashoras",15,NA,NA,NA
"198","mañana",15,2.8,2.8,2.8
"199","mundial",15,2.3333,2.1667,2.5
"200","partir",15,2,2.8,2.6
"201","poder",15,2.6,2.8,2.3
"202","sociales",15,NA,NA,NA
"203","vigilancia",15,NA,NA,NA
"204","análisis",14,2.8,3,2.4
"205","área",14,2.2,1.4,2.6
