"","palabra","freq","magrado","mactivacion","mimag"
"936","estadio",1,2.3333,2.1111,3
"937","estimen",1,NA,NA,NA
"938","estornuda",1,NA,NA,NA
"939","estornudás",1,NA,NA,NA
"940","estudiantes",1,NA,NA,NA
"941","estudios",1,NA,NA,NA
"942","etapa",1,2.2,2.4,2.6
"943","etaria",1,NA,NA,NA
"944","evaluado",1,NA,NA,NA
"945","evaluamos",1,NA,NA,NA
"946","evaluará",1,NA,NA,NA
"947","eventos",1,NA,NA,NA
"948","eventual",1,NA,NA,NA
"949","evitá",1,NA,NA,NA
"950","evite",1,NA,NA,NA
"951","examen",1,1.6,2,3
"952","exclusivamente",1,2.2,2,1.4
"953","excursiones",1,NA,NA,NA
"954","excusas",1,NA,NA,NA
"955","exista",1,NA,NA,NA
"956","existe",1,NA,NA,NA
"957","existir",1,2.6,2.2,1.8
"958","expenda",1,NA,NA,NA
"959","expendan",1,NA,NA,NA
"960","explicativa",1,NA,NA,NA
"961","exploten",1,NA,NA,NA
"962","expusieron",1,NA,NA,NA
"963","faciliten",1,NA,NA,NA
"964","facultará",1,NA,NA,NA
"965","fallecida",1,NA,NA,NA
"966","familiar",1,2.7,2.2,2.5
"967","febrero",1,NA,NA,NA
"968","fechade",1,NA,NA,NA
"969","fenómeno",1,3,2.8,2.8
"970","ferias",1,NA,NA,NA
"971","fiestas",1,NA,NA,NA
"972","firma",1,2.4,2.8,3
"973","firmes",1,NA,NA,NA
"974","física",1,NA,NA,NA
"975","flexibilización",1,NA,NA,NA
"976","francesa",1,NA,NA,NA
"977","franja",1,NA,NA,NA
"978","funcionarias",1,NA,NA,NA
"979","fundamentó",1,NA,NA,NA
"980","fútbol",1,1.8,3,3
"981","futuras",1,NA,NA,NA
"982","futuro",1,2.6,2.3,1.7
"983","gabriela",1,NA,NA,NA
"984","garantías",1,NA,NA,NA
"985","gargante",1,NA,NA,NA
"986","gel",1,NA,NA,NA
"987","generales",1,NA,NA,NA
"988","generalpico",1,NA,NA,NA
"989","género",1,2,1.8,2
"990","globales",1,NA,NA,NA
"991","gobernación",1,2,2.2,1.8
"992","gobiernose",1,NA,NA,NA
"993","goleador",1,NA,NA,NA
"994","golpea",1,NA,NA,NA
"995","gómez",1,NA,NA,NA
"996","gotículas",1,NA,NA,NA
"997","graves",1,NA,NA,NA
"998","gremiales",1,NA,NA,NA
"999","gripe",1,NA,NA,NA
"1000","grita",1,1.8,2.4,2.4
"1001","grupo",1,2.6,2,2.8
"1002","gubernamentalesydisponiendo",1,NA,NA,NA
"1003","guiarse",1,NA,NA,NA
"1004","guillermo",1,NA,NA,NA
"1005","gustavo",1,NA,NA,NA
"1006","habilitación",1,NA,NA,NA
"1007","habitantes",1,NA,NA,NA
"1008","hablamos",1,NA,NA,NA
"1009","hacé",1,NA,NA,NA
"1010","hacemos",1,NA,NA,NA
"1011","hacer",1,2.4,3,2.8
"1012","hacerlo",1,NA,NA,NA
"1013","haga",1,NA,NA,NA
"1014","hannoverde",1,NA,NA,NA
"1015","hará",1,NA,NA,NA
"1016","hastala",1,NA,NA,NA
"1017","hayenfermos",1,NA,NA,NA
"1018","hayinfectados",1,NA,NA,NA
"1019","haysoldados",1,NA,NA,NA
"1020","hiciera",1,NA,NA,NA
"1021","highlanders",1,NA,NA,NA
"1022","hipertensión",1,NA,NA,NA
"1023","hoc",1,NA,NA,NA
"1024","hotelería",1,NA,NA,NA
"1025","hübers",1,NA,NA,NA
"1026","humanos",1,NA,NA,NA
"1027","identificado",1,NA,NA,NA
"1028","impediría",1,NA,NA,NA
"1029","implementación",1,NA,NA,NA
"1030","impliquen",1,NA,NA,NA
"1031","importancia",1,2.4,2.4,2
"1032","incluían",1,NA,NA,NA
"1033","incluida",1,NA,NA,NA
"1034","incluido",1,NA,NA,NA
"1035","incluyen",1,NA,NA,NA
"1036","incorporación",1,NA,NA,NA
"1037","incremento",1,NA,NA,NA
"1038","individuales",1,NA,NA,NA
"1039","individuo",1,2,1.8,1.6
"1040","índole",1,NA,NA,NA
"1041","infecciosa",1,NA,NA,NA
"1042","infectada",1,NA,NA,NA
"1043","infectado",1,NA,NA,NA
"1044","infectólogos",1,NA,NA,NA
"1045","influenza",1,NA,NA,NA
"1046","informaron",1,NA,NA,NA
"1047","ingresantesque",1,NA,NA,NA
"1048","iniciaron",1,NA,NA,NA
"1049","iniciativa",1,2.8,2.8,2.8
"1050","inicio",1,2.4,2.2,2.8
"1051","insistió",1,NA,NA,NA
"1052","instancia",1,NA,NA,NA
"1053","instancias",1,NA,NA,NA
"1054","instituido",1,NA,NA,NA
"1055","instrucciones",1,NA,NA,NA
"1056","instrumentación",1,NA,NA,NA
"1057","instrumentado",1,NA,NA,NA
"1058","instruyó",1,NA,NA,NA
"1059","insuficiencia",1,NA,NA,NA
"1060","integrada",1,NA,NA,NA
"1061","integridad",1,NA,NA,NA
"1062","intendentes",1,NA,NA,NA
"1063","intensificado",1,NA,NA,NA
"1064","intensiva",1,NA,NA,NA
"1065","inter",1,NA,NA,NA
"1066","intercambios",1,NA,NA,NA
"1067","interesadas",1,NA,NA,NA
"1068","interior",1,2.3,1.9,2.4
"1069","internos",1,NA,NA,NA
"1070","interpretación",1,2.2,2.8,2
"1071","interpretativos",1,NA,NA,NA
"1072","invitó",1,NA,NA,NA
