"","palabra","freq","magrado","mactivacion","mimag"
"1","casos",18,NA,NA,NA
"2","salud",17,2.6,1.6,2.6
"3","coronavirus",15,NA,NA,NA
"4","covid",15,NA,NA,NA
"5","enfermedad",15,1.2,2,2.8
"6","china",14,NA,NA,NA
"7","país",14,2.2,1.8,2.8
"8","persona",12,2.4,2.6,2.8
"9","ministerio",11,1.8,1.6,2.2
"10","personas",10,NA,NA,NA
"11","países",9,NA,NA,NA
"12","virus",9,NA,NA,NA
"13","italia",8,NA,NA,NA
"14","confirmados",7,NA,NA,NA
"15","buenosaires",6,NA,NA,NA
"16","contacto",6,2.6667,2.6667,2.5
"17","contagio",6,NA,NA,NA
"18","hombre",6,2.4,2.4,3
"19","hospital",6,1.8,2.6,3
"20","paciente",6,2.2,1.6,2.9
"21","boca",5,2.4,2.4,3
"22","epidemia",5,NA,NA,NA
"23","irán",5,NA,NA,NA
"24","licencia",5,NA,NA,NA
"25","manos",5,NA,NA,NA
"26","nación",5,2.8,3,2.8
"27","nariz",5,2,2.2,2.8
"28","nuevos",5,NA,NA,NA
"29","provincia",5,2.6,2,2.8
"30","pueden",5,NA,NA,NA
"31","sector",5,2,1.8,2.6
"32","síntomas",5,NA,NA,NA
"33","situación",5,2,2,1.6
"34","superficies",5,NA,NA,NA
"35","tal",5,NA,NA,NA
"36","asuntos",4,NA,NA,NA
"37","ciudad",4,2.4,2.4,3
"38","cuadro",4,2.2,1.2,3
"39","días",4,NA,NA,NA
"40","dolor",4,1,2.6,2.8
"41","empleados",4,NA,NA,NA
"42","exterior",4,2.2,1.7,2.7
"43","garganta",4,2.2,2,2.8
"44","infectada",4,NA,NA,NA
"45","lapampa",4,NA,NA,NA
"46","mientras",4,NA,NA,NA
"47","ocho",4,NA,NA,NA
"48","oms",4,NA,NA,NA
"49","privado",4,NA,NA,NA
"50","recomendaciones",4,NA,NA,NA
